accommod,unit,hotelsize,geo\time	2017 	2016 	2015 	2014 	2013 	2012 
BEDPL,PCH_PRE,TOTAL,MT	3.09 	0.97 	2.64 	-3.37 	6 	2.5 
BEDPL,PCH_PRE,TOTAL,NL	3.42 	2.58 	0.98 	3.26 	7.9 	5.8 
BEDPL,PCH_PRE,TOTAL,NO	0.16 	2.19 	-0.82 	-0.96 	0.3 	4.8 
BEDPL,PCH_PRE,TOTAL,PL	3.11 	8.03 	3.09 	6.64 	3.8 	4.6 
BEDPL,PCH_PRE,TOTAL,PT	7.69 	2.74 	5.89 	0 	4.6 	2.5 
BEDPL,PCH_PRE,TOTAL,RO	2.86 	-5.15 	3.45 	1.44 	1 	-14.5 b
BEDPL,PCH_PRE,TOTAL,RS	: 	: 	: 	-2.97 	10.3 	: 
BEDPL,PCH_PRE,TOTAL,SE	2.11 	1.83 	-0.96 	1.31 	3.2 	1.4 
BEDPL,PCH_PRE,TOTAL,SI	2.02 	0.98 	1.59 	0.21 	-0.1 	-0.4 
BEDPL,PCH_PRE,TOTAL,SK	1.05 	-1.26 	5.82 	-0.65 	-0.6 	23.3 
BEDPL,PCH_PRE,TOTAL,TR	3.91 	: 	: 	7.58 	: 	: 
BEDPL,PCH_PRE,TOTAL,UK	: 	-0.22 	0.59 	: 	28.45 	11.4 b
BEDRM,NR,100-249,BG	27710 	28001 	25784 	25339 	24703 	24109 
BEDRM,NR,100-249,CY	19312 	19148 	19646 	19647 	: 	: 
BEDRM,NR,100-249,CZ	23097 	22736 	22909 	23119 	23599 	22310 b
BEDRM,NR,100-249,DE	237825 	229392 	223105 	214874 	208991 	204179 
BEDRM,NR,100-249,EA	: u	: u	: u	: 	: 	: 
BEDRM,NR,100-249,EL	88758 	88874 	88817 	88955 	86489 	86355 
BEDRM,NR,100-249,ES	279237 	278103 	278790 	277132 	275836 	274761 
BEDRM,NR,100-249,EU27	: u	: u	: u	: u	: 	: 
BEDRM,NR,100-249,EU28	: u	: u	: u	: u	: 	: 
BEDRM,NR,100-249,HR	31890 	31030 	31390 	30933 	30940 	30894 
BEDRM,NR,100-249,HU	19486 	19223 	18479 	18431 	: 	: 
BEDRM,NR,100-249,IS	3440 	3103 	2135 	4496 	4029 	: 
BEDRM,NR,100-249,LT	4098 	4085 	3850 	3881 	3658 	3642 
BEDRM,NR,100-249,LV	4155 	3973 	3945 	: c	: 	3765 
BEDRM,NR,100-249,ME	5633 	: 	: 	: 	: 	: 
BEDRM,NR,100-249,MT	6374 	7024 	6706 	6981 	6545 	3766 
BEDRM,NR,100-249,NO	36191 	35682 	34579 	34499 	34583 	33277 
BEDRM,NR,100-249,PL	38893 	37208 	35957 	34692 	31691 	29354 
BEDRM,NR,100-249,RO	35707 	35178 	35524 	35702 	34974 	34894 
BEDRM,NR,100-249,SE	37673 	35893 	36556 	46790 	46365 	44904 
BEDRM,NR,100-249,UK	: 	232261 	44382 	: 	: 	: 
BEDRM,NR,100-249,XK	493 u	: 	: 	: 	: 	: 
BEDRM,NR,25-99,BG	23736 	24596 	24791 	24334 	22970 	21624 
BEDRM,NR,25-99,CY	10768 	10601 	10754 	11022 	: 	: 
BEDRM,NR,25-99,CZ	51838 	51577 	50286 	48933 	49402 	49863 b
BEDRM,NR,25-99,DE	374414 	370201 	371269 	370805 	371322 	372922 
BEDRM,NR,25-99,EA	: u	: u	: u	: 	: 	: 
BEDRM,NR,25-99,EL	178153 	179111 	180132 	180018 	175212 	174705 
BEDRM,NR,25-99,ES	251319 	248672 	252131 	250833 	251440 	250734 
BEDRM,NR,25-99,EU27	: u	: u	: u	: u	: 	: 
BEDRM,NR,25-99,EU28	: u	: u	: u	: u	: 	: 
BEDRM,NR,25-99,HR	15430 	14990 	14326 	14000 	14534 	13936 
BEDRM,NR,25-99,HU	27277 	27399 	26691 	26371 	: 	: 
BEDRM,NR,25-99,IS	7333 	6940 	7397 	4863 	4480 	: 
BEDRM,NR,25-99,IT	598680 	600761 	601302 	598331 	601475 	613960 
BEDRM,NR,25-99,LT	6298 	6210 	6405 	6341 	6165 	6167 
BEDRM,NR,25-99,LU	3039 	3091 	: 	: 	: 	: 
BEDRM,NR,25-99,LV	4800 	4720 	4901 	4637 	4642 	4314 
BEDRM,NR,25-99,ME	3955 	: 	: 	: 	: 	: 
BEDRM,NR,25-99,MT	3274 	3299 	3337 	3172 	3443 	1009 
BEDRM,NR,25-99,NO	25991 	25715 	25780 	27004 	27621 	28109 
BEDRM,NR,25-99,PL	80550 	77174 	68239 	66648 	63436 	61318 
BEDRM,NR,25-99,RO	42767 	41263 	41001 	38386 	37905 	36595 
BEDRM,NR,25-99,SE	24348 	24497 	25043 	41945 	42312 	41956 
BEDRM,NR,25-99,UK	: 	267045 	208216 	: 	: 	: 
BEDRM,NR,25-99,XK	2018 u	: 	: 	: 	: 	: 
BEDRM,NR,GE100,BG	95702 	94253 	94868 	93813 	90405 	92772 
BEDRM,NR,GE100,CY	28123 	27574 	28068 	28032 	: 	: 
BEDRM,NR,GE100,CZ	35158 	34410 	34582 	34015 	34533 	33794 b
BEDRM,NR,GE100,DE	325818 	315106 	307842 	299754 	293142 	288290 
BEDRM,NR,GE100,EA	: u	: u	: u	: 	: 	: 
BEDRM,NR,GE100,EL	159660 	159706 	159858 	159468 	154056 	153601 
BEDRM,NR,GE100,ES	534745 	529579 	531010 	523075 	523828 	524485 
BEDRM,NR,GE100,EU27	: u	: u	: u	: u	: 	: 
BEDRM,NR,GE100,EU28	: u	: u	: u	: u	: 	: 
BEDRM,NR,GE100,HR	57562 	58287 	58165 	57695 	57247 	56241 
BEDRM,NR,GE100,HU	29567 	29291 	28680 	28583 	: 	: 
BEDRM,NR,GE100,IS	4322 	3985 	3273 	6247 	5885 	: 
BEDRM,NR,GE100,IT	241671 	241571 	241260 	241491 	236869 	231617 
BEDRM,NR,GE100,LT	4647 	4634 	4399 	4430 	4206 	4190 
BEDRM,NR,GE100,LU	2705 	2725 	: 	: 	: 	: 
BEDRM,NR,GE100,LV	5602 	5420 	5128 	4935 	5010 	4953 
BEDRM,NR,GE100,ME	9957 	: 	: 	: 	: 	: 
BEDRM,NR,GE100,MT	14835 	14905 	14604 	14337 	14637 	16649 
BEDRM,NR,GE100,NO	57878 	57614 	54665 	53186 	51738 	49358 
BEDRM,NR,GE100,PL	52865 	51737 	50316 	48704 	45195 	42405 
BEDRM,NR,GE100,RO	51491 	50728 	51104 	52078 	51638 	52430 
BEDRM,NR,GE100,SE	95218 	91868 	89197 	65467 	63578 	60862 
BEDRM,NR,GE100,UK	: 	348159 	147943 	: 	: 	: 
BEDRM,NR,GE100,XK	493 u	: 	: 	: 	: 	: 
BEDRM,NR,GE250,BG	67992 	66252 	69084 	68474 	65702 	68663 
BEDRM,NR,GE250,CY	8811 	8426 	8422 	8385 	: 	: 
BEDRM,NR,GE250,CZ	12061 	11674 	11673 	10896 	10934 	11484 b
BEDRM,NR,GE250,DE	87993 	85714 	84737 	84880 	84151 	84111 
BEDRM,NR,GE250,EA	: u	: u	: u	: 	: 	: 
BEDRM,NR,GE250,EL	70902 	70832 	71041 	70513 	67567 	67246 
BEDRM,NR,GE250,ES	255508 	251476 	252220 	245943 	247992 	249724 
BEDRM,NR,GE250,EU27	: u	: u	: u	: u	: 	: 
BEDRM,NR,GE250,EU28	: u	: u	: u	: u	: 	: 
BEDRM,NR,GE250,HR	25672 	27257 	26775 	26762 	26307 	25347 
BEDRM,NR,GE250,HU	10081 	10068 	10201 	10152 	: 	: 
BEDRM,NR,GE250,IS	882 	882 	1138 	1751 	1856 	: 
BEDRM,NR,GE250,LT	549 	549 	549 	549 	548 	548 
BEDRM,NR,GE250,LV	1447 	1447 	: c	: c	: 	: c
BEDRM,NR,GE250,ME	4324 	: 	: 	: 	: 	: 
BEDRM,NR,GE250,MT	8461 	7881 	7898 	7356 	8092 	12883 
BEDRM,NR,GE250,NO	21687 	21932 	20086 	18687 	17155 	16081 
BEDRM,NR,GE250,PL	13972 	14529 	14359 	14012 	13504 	13051 
BEDRM,NR,GE250,RO	15784 	15550 	15580 	16376 	16664 	17536 
BEDRM,NR,GE250,SE	57545 	55975 	52641 	18677 	17213 	15958 
BEDRM,NR,GE250,UK	: 	115898 	103560 	: 	: 	: 
BEDRM,NR,GE250,XK	0 u	: 	: 	: 	: 	: 
BEDRM,NR,LT25,BG	3982 	4176 	4909 	5127 	4732 	4356 
BEDRM,NR,LT25,CY	2914 	2902 	2873 	2930 	: 	: 
BEDRM,NR,LT25,CZ	50322 	51105 	51158 	49572 	53322 	54044 b
BEDRM,NR,LT25,DE	263107 	267151 	273275 	277492 	284203 	287256 
BEDRM,NR,LT25,EA	: u	: u	: u	: 	: 	: 
BEDRM,NR,LT25,EL	72060 	74097 	75382 	75760 	71960 	72077 
BEDRM,NR,LT25,ES	138110 	137760 	139298 	138532 	138995 	138913 
BEDRM,NR,LT25,EU27	: u	: u	: u	: u	: 	: 
BEDRM,NR,LT25,EU28	: u	: u	: u	: u	: 	: 
BEDRM,NR,LT25,HR	6992 	6685 	5940 	5617 	5376 	5186 
BEDRM,NR,LT25,HU	16892 	17095 	16948 	16532 	: 	: 
BEDRM,NR,LT25,IS	2862 	2909 	2917 	952 	811 	: 
BEDRM,NR,LT25,IT	246559 	248729 	249072 	250478 	251426 	247709 
BEDRM,NR,LT25,LT	3020 	3081 	3035 	3017 	3097 	2891 
BEDRM,NR,LT25,LU	1791 	1850 	: 	: 	: 	: 
BEDRM,NR,LT25,LV	2643 	2672 	2568 	1901 	1856 	1832 
BEDRM,NR,LT25,ME	2714 	: 	: 	: 	: 	: 
BEDRM,NR,LT25,MT	676 	459 	471 	366 	340 	133 
BEDRM,NR,LT25,NO	3709 	4175 	4259 	4620 	4982 	4456 
BEDRM,NR,LT25,PL	29097 	28804 	27559 	27012 	25786 	25372 
BEDRM,NR,LT25,RO	20131 	18835 	18760 	17408 	16922 	16437 
BEDRM,NR,LT25,SE	3382 	3490 	3467 	11202 	11338 	11126 
BEDRM,NR,LT25,UK	: 	259081 	519860 	: 	: 	: 
BEDRM,NR,LT25,XK	2125 u	: 	: 	: 	: 	: 
BEDRM,NR,TOTAL,AT	291046 	291497 	291974 	291753 	293702 	292165 
BEDRM,NR,TOTAL,BE	58968 	58791 	58298 	59417 	59671 	59769 
BEDRM,NR,TOTAL,BG	123420 	123025 	124568 	123274 	118107 	118752 
BEDRM,NR,TOTAL,CH	: 	140331 	141018 	140722 	140192 	140372 
BEDRM,NR,TOTAL,CY	41805 	41077 	41695 	41984 	41782 	41514 
BEDRM,NR,TOTAL,CZ	137318 	137092 	136026 	132520 	137257 	137701 b
BEDRM,NR,TOTAL,DE	963339 	952458 	952386 	948051 	948667 	948468 
BEDRM,NR,TOTAL,DK	46653 	45393 	44549 	44671 	43293 	43109 
BEDRM,NR,TOTAL,EA	4966602 e	4941501 	4940537 	: 	: 	: 
BEDRM,NR,TOTAL,EE	16208 	15535 	15474 	15624 	15321 	15088 
BEDRM,NR,TOTAL,EL	409873 	412914 	415372 	415246 	401228 	400383 
BEDRM,NR,TOTAL,ES	924174 	916011 	922439 	912440 	914263 	914132 
BEDRM,NR,TOTAL,EU27	: u	6583477 	6568704 	6545144 e	6512020 	6300623 
BEDRM,NR,TOTAL,EU28	: u	6663439 	6647135 	6622456 e	6589177 	6375986 
BEDRM,NR,TOTAL,FI	59104 	56982 	56723 	56688 	57447 	57009 
BEDRM,NR,TOTAL,FR	: 	656186 	652346 	637460 	629471 	624661 
BEDRM,NR,TOTAL,HR	79984 	79962 	78431 	77312 	77157 	75363 b
BEDRM,NR,TOTAL,HU	73736 	73785 	72319 	71486 	71041 	70252 
BEDRM,NR,TOTAL,IE	: 	64643 	64643 	65471 	66576 	68869 b
BEDRM,NR,TOTAL,IS	14517 	13834 	13587 	12063 	11176 	10374 
BEDRM,NR,TOTAL,IT	1086910 	1091061 	1091634 	1090300 	1089770 	1093286 
BEDRM,NR,TOTAL,LI	707 	721 	564 	591 	587 	626 
BEDRM,NR,TOTAL,LT	13965 	13925 	13839 	13788 	13468 	13248 
BEDRM,NR,TOTAL,LU	7535 	7666 	7661 	7777 	7836 	8205 b
BEDRM,NR,TOTAL,LV	13045 	12812 	: c	11473 	11508 	11099 b
BEDRM,NR,TOTAL,ME	16626 	16166 	: 	: 	: 	16248 
BEDRM,NR,TOTAL,MK	9335 	8906 	8271 	7692 	7232 	6820 
BEDRM,NR,TOTAL,MT	18785 	18663 	18412 	17875 	18420 	17791 
BEDRM,NR,TOTAL,NL	124049 	121021 	118121 	117917 	113813 	105940 
BEDRM,NR,TOTAL,NO	87578 	87504 	84704 	84810 	84341 	81923 
BEDRM,NR,TOTAL,PL	162512 	157715 	146114 	142364 	134417 	129095 
BEDRM,NR,TOTAL,PT	153971 	147940 	143912 	137511 	137511 	131357 
BEDRM,NR,TOTAL,RO	114389 	110826 	110865 	107872 	106465 	105462 b
BEDRM,NR,TOTAL,RS	: 	: 	: 	25634 	24759 	25130 
BEDRM,NR,TOTAL,SE	122948 	119855 	117707 	118614 	117228 	113944 
BEDRM,NR,TOTAL,SI	22908 	22451 	22344 	22072 	22102 	22015 
BEDRM,NR,TOTAL,SK	40088 	39868 	40667 	38498 	38690 	38921 
BEDRM,NR,TOTAL,TR	445249 	426210 	: 	383823 	357189 	: 
BEDRM,NR,TOTAL,UK	: 	874285 	876019 	: 	902998 	718405 b
BEDRM,NR,TOTAL,XK	4636 u	: 	: 	: 	: 	: 
BEDRM,PCH_PRE,100-249,BG	-1.04 	8.6 	1.76 	2.57 	2.5 	: 
BEDRM,PCH_PRE,100-249,CY	0.86 	-2.53 	-0.01 	: 	: 	: 
BEDRM,PCH_PRE,100-249,CZ	1.59 	-0.76 	-0.91 	-2.03 	5.8 	: 
BEDRM,PCH_PRE,100-249,DE	3.68 	2.82 	3.83 	2.81 	2.4 	: 
BEDRM,PCH_PRE,100-249,EA	: u	: u	: u	: 	: 	: 
BEDRM,PCH_PRE,100-249,EL	-0.13 	0.06 	-0.16 	2.85 	0.16 	: 
BEDRM,PCH_PRE,100-249,ES	0.41 	-0.25 	0.6 	0.47 	0.4 	: 
BEDRM,PCH_PRE,100-249,EU27	: u	: u	: u	: u	: 	: 
BEDRM,PCH_PRE,100-249,EU28	: u	: u	: u	: u	: 	: 
BEDRM,PCH_PRE,100-249,HR	2.77 	-1.15 	1.48 	-0.02 	0.1 	: 
BEDRM,PCH_PRE,100-249,HU	1.37 	4.03 	0.26 	: 	: 	: 
BEDRM,PCH_PRE,100-249,IS	10.86 	45.34 	-52.51 	11.59 	: 	: 
BEDRM,PCH_PRE,100-249,LT	0.32 	6.1 	-0.8 	6.1 	0.4 	: 
BEDRM,PCH_PRE,100-249,LV	4.58 	0.71 	5.28 	: 	: 	: 
BEDRM,PCH_PRE,100-249,MT	-9.25 	4.74 	-3.94 	6.66 	73.8 	: 
BEDRM,PCH_PRE,100-249,NO	1.43 	3.19 	0.23 	-0.24 	3.9 	: 
BEDRM,PCH_PRE,100-249,PL	4.53 	3.48 	3.65 	9.47 	8 	: 
BEDRM,PCH_PRE,100-249,RO	1.5 	-0.97 	-0.5 	2.08 	0.2 	: 
BEDRM,PCH_PRE,100-249,SE	4.96 	-1.81 	-21.87 	0.92 	3.3 	: 
BEDRM,PCH_PRE,100-249,UK	: 	423.32 	-84.16 	: 	: 	: 
BEDRM,PCH_PRE,25-99,BG	-3.5 	-0.79 	1.88 	5.94 	6.2 	: 
BEDRM,PCH_PRE,25-99,CY	1.58 	-1.42 	-2.43 	: 	: 	: 
BEDRM,PCH_PRE,25-99,CZ	0.51 	2.57 	2.77 	-0.95 	-0.9 	: 
BEDRM,PCH_PRE,25-99,DE	1.14 	-0.29 	0.13 	-0.14 	-0.4 	: 
BEDRM,PCH_PRE,25-99,EA	: u	: u	: u	: 	: 	: 
BEDRM,PCH_PRE,25-99,EL	-0.53 	-0.57 	0.06 	2.74 	0.29 	: 
BEDRM,PCH_PRE,25-99,ES	1.06 	-1.37 	0.52 	-0.24 	0.3 	: 
BEDRM,PCH_PRE,25-99,EU27	: u	: u	: u	: u	: 	: 
BEDRM,PCH_PRE,25-99,EU28	: u	: u	: u	: u	: 	: 
BEDRM,PCH_PRE,25-99,HR	2.94 	4.63 	2.33 	-3.67 	4.3 	: 
BEDRM,PCH_PRE,25-99,HU	-0.45 	2.65 	1.21 	: 	: 	: 
BEDRM,PCH_PRE,25-99,IS	5.66 	-6.18 	52.11 	8.55 	: 	: 
BEDRM,PCH_PRE,25-99,IT	-0.35 	-0.09 	0.5 	-0.52 	-2 	: 
BEDRM,PCH_PRE,25-99,LT	1.42 	-3.04 	1.01 	2.85 	0 	: 
BEDRM,PCH_PRE,25-99,LU	-1.68 	: 	: 	: 	: 	: 
BEDRM,PCH_PRE,25-99,LV	1.69 	-3.69 	5.69 	-0.11 	7.6 	: 
BEDRM,PCH_PRE,25-99,MT	-0.76 	-1.14 	5.2 	-7.87 	241.2 	: 
BEDRM,PCH_PRE,25-99,NO	1.07 	-0.25 	-4.53 	-2.23 	-1.7 	: 
BEDRM,PCH_PRE,25-99,PL	4.37 	13.09 	2.39 	5.06 	3.5 	: 
BEDRM,PCH_PRE,25-99,RO	3.64 	0.64 	6.81 	1.27 	3.6 	: 
BEDRM,PCH_PRE,25-99,SE	-0.61 	-2.18 	-40.3 	-0.87 	0.8 	: 
BEDRM,PCH_PRE,25-99,UK	: 	28.25 	-23.28 	: 	: 	: 
BEDRM,PCH_PRE,GE100,BG	1.54 	-0.65 	1.12 	3.77 	-2.6 	: 
BEDRM,PCH_PRE,GE100,CY	1.99 	-1.76 	0.13 	: 	: 	: 
BEDRM,PCH_PRE,GE100,CZ	2.17 	-0.5 	1.67 	-1.5 	2.2 	: 
BEDRM,PCH_PRE,GE100,DE	3.4 	2.36 	2.7 	2.26 	1.7 	: 
BEDRM,PCH_PRE,GE100,EA	: u	: u	: u	: 	: 	: 
BEDRM,PCH_PRE,GE100,EL	-0.03 	-0.1 	0.24 	3.51 	0.3 	: 
BEDRM,PCH_PRE,GE100,ES	0.98 	-0.27 	1.52 	-0.14 	-0.1 	: 
BEDRM,PCH_PRE,GE100,EU27	: u	: u	: u	: u	: 	: 
BEDRM,PCH_PRE,GE100,EU28	: u	: u	: u	: u	: 	: 
BEDRM,PCH_PRE,GE100,HR	-1.24 	0.21 	0.81 	0.78 	1.8 	: 
BEDRM,PCH_PRE,GE100,HU	0.94 	2.13 	0.34 	: 	: 	: 
BEDRM,PCH_PRE,GE100,IS	8.46 	21.75 	-47.61 	6.15 	: 	: 
BEDRM,PCH_PRE,GE100,IT	0.04 	0.13 	-0.1 	1.95 	2.3 	: 
BEDRM,PCH_PRE,GE100,LT	0.28 	5.34 	-0.7 	5.33 	0.4 	: 
BEDRM,PCH_PRE,GE100,LU	-0.73 	: 	: 	: 	: 	: 
BEDRM,PCH_PRE,GE100,LV	3.36 	5.69 	3.91 	-1.5 	1.2 	: 
BEDRM,PCH_PRE,GE100,MT	-0.47 	2.06 	1.86 	-2.05 	-12.1 	: 
BEDRM,PCH_PRE,GE100,NO	0.46 	5.39 	2.78 	2.8 	4.8 	: 
BEDRM,PCH_PRE,GE100,PL	2.18 	2.82 	3.31 	7.76 	6.6 	: 
BEDRM,PCH_PRE,GE100,RO	1.5 	-0.74 	-1.87 	0.85 	-1.5 	: 
BEDRM,PCH_PRE,GE100,SE	3.65 	2.99 	36.25 	2.97 	4.5 	: 
BEDRM,PCH_PRE,GE100,UK	: 	135.33 	-58.78 	: 	: 	: 
BEDRM,PCH_PRE,GE250,BG	2.63 	-4.1 	0.89 	4.22 	-4.3 	: 
BEDRM,PCH_PRE,GE250,CY	4.57 	0.05 	0.44 	: 	: 	: 
BEDRM,PCH_PRE,GE250,CZ	3.32 	0.01 	7.13 	-0.35 	-4.8 	: 
BEDRM,PCH_PRE,GE250,DE	2.66 	1.15 	-0.17 	0.87 	0 	: 
BEDRM,PCH_PRE,GE250,EA	: u	: u	: u	: 	: 	: 
BEDRM,PCH_PRE,GE250,EL	0.1 	-0.29 	0.75 	4.36 	0.48 	: 
BEDRM,PCH_PRE,GE250,ES	1.6 	-0.29 	2.55 	-0.83 	-0.7 	: 
BEDRM,PCH_PRE,GE250,EU27	: u	: u	: u	: u	: 	: 
BEDRM,PCH_PRE,GE250,EU28	: u	: u	: u	: u	: 	: 
BEDRM,PCH_PRE,GE250,HR	-5.82 	1.8 	0.05 	1.73 	3.8 	: 
BEDRM,PCH_PRE,GE250,HU	0.13 	-1.3 	0.48 	: 	: 	: 
BEDRM,PCH_PRE,GE250,IS	0 	-22.5 	-35.01 	-5.66 	: 	: 
BEDRM,PCH_PRE,GE250,LT	0 	0 	0 	0.18 	0 	: 
BEDRM,PCH_PRE,GE250,LV	0 	22.32 	: c	: 	: 	: 
BEDRM,PCH_PRE,GE250,MT	7.36 	-0.22 	7.37 	-9.1 	-37.2 	: 
BEDRM,PCH_PRE,GE250,NO	-1.12 	9.19 	7.49 	8.93 	6.7 	: 
BEDRM,PCH_PRE,GE250,PL	-3.83 	1.18 	2.48 	3.76 	3.5 	: 
BEDRM,PCH_PRE,GE250,RO	1.5 	-0.19 	-4.86 	-1.73 	-5 	: 
BEDRM,PCH_PRE,GE250,SE	2.8 	6.33 	181.85 	8.51 	7.9 	: 
BEDRM,PCH_PRE,GE250,UK	: 	11.91 	31.44 	: 	: 	: 
BEDRM,PCH_PRE,LT25,BG	-4.65 	-14.93 	-4.25 	8.35 	8.6 	: 
BEDRM,PCH_PRE,LT25,CY	0.41 	1.01 	-1.95 	: 	: 	: 
BEDRM,PCH_PRE,LT25,CZ	-1.53 	-0.1 	3.2 	-7.03 	-1.3 	: 
BEDRM,PCH_PRE,LT25,DE	-1.51 	-2.24 	-1.52 	-2.36 	-1.1 	: 
BEDRM,PCH_PRE,LT25,EA	: u	: u	: u	: 	: 	: 
BEDRM,PCH_PRE,LT25,EL	-2.75 	-1.7 	-0.5 	5.28 	-0.16 	: 
BEDRM,PCH_PRE,LT25,ES	0.25 	-1.1 	0.55 	-0.33 	0.1 	: 
BEDRM,PCH_PRE,LT25,EU27	: u	: u	: u	: u	: 	: 
BEDRM,PCH_PRE,LT25,EU28	: u	: u	: u	: u	: 	: 
BEDRM,PCH_PRE,LT25,HR	4.59 	12.54 	5.75 	4.48 	3.7 	: 
BEDRM,PCH_PRE,LT25,HU	-1.19 	0.87 	2.52 	: 	: 	: 
BEDRM,PCH_PRE,LT25,IS	-1.62 	-0.27 	206.41 	17.39 	: 	: 
BEDRM,PCH_PRE,LT25,IT	-0.87 	-0.14 	-0.56 	-0.38 	1.5 	: 
BEDRM,PCH_PRE,LT25,LT	-1.98 	1.52 	0.6 	-2.58 	7.1 	: 
BEDRM,PCH_PRE,LT25,LU	-3.19 	: 	: 	: 	: 	: 
BEDRM,PCH_PRE,LT25,LV	-1.09 	4.05 	35.09 	2.42 	1.3 	: 
BEDRM,PCH_PRE,LT25,MT	47.28 	-2.55 	28.69 	7.65 	155.6 	: 
BEDRM,PCH_PRE,LT25,NO	-11.16 	-1.97 	-7.81 	-7.27 	11.8 	: 
BEDRM,PCH_PRE,LT25,PL	1.02 	4.52 	2.03 	4.75 	1.6 	: 
BEDRM,PCH_PRE,LT25,RO	6.88 	0.4 	7.77 	2.87 	3 	: 
BEDRM,PCH_PRE,LT25,SE	-3.09 	0.66 	-69.05 	-1.2 	1.9 	: 
BEDRM,PCH_PRE,LT25,UK	: 	-50.16 	112.08 	: 	: 	: 
BEDRM,PCH_PRE,TOTAL,AT	-0.15 	-0.16 	0.08 	-0.7 	0.53 	0.6 
BEDRM,PCH_PRE,TOTAL,BE	0.3 	0.85 	-1.88 	-0.43 	-0.2 	-0.5 
BEDRM,PCH_PRE,TOTAL,BG	0.32 	-1.24 	1.05 	4.37 	-0.5 	7.4 
BEDRM,PCH_PRE,TOTAL,CH	: 	-0.49 	0.21 	0.38 	-0.1 	-1.2 
BEDRM,PCH_PRE,TOTAL,CY	1.77 	-1.48 	-0.69 	0.48 	0.65 	0.1 
BEDRM,PCH_PRE,TOTAL,CZ	0.16 	0.78 	2.65 	-3.45 	-0.3 	18.9 b
BEDRM,PCH_PRE,TOTAL,DE	1.14 	0.01 	0.46 	-0.06 	0 	-0.3 
BEDRM,PCH_PRE,TOTAL,DK	2.78 	1.89 	-0.27 	3.18 	0.4 	-0.1 
BEDRM,PCH_PRE,TOTAL,EA	0.51 e	0.02 	0.8 	: 	: 	: 
BEDRM,PCH_PRE,TOTAL,EE	4.33 	0.39 	-0.96 	1.98 	1.5 	-0.3 
BEDRM,PCH_PRE,TOTAL,EL	-0.74 	-0.59 	0.03 	3.49 	0.21 	0.8 
BEDRM,PCH_PRE,TOTAL,ES	0.89 	-0.7 	1.1 	-0.2 	0 	0.9 
BEDRM,PCH_PRE,TOTAL,EU27	: u	0.22 	0.78 	0.51 e	3.36 	1.7 
BEDRM,PCH_PRE,TOTAL,EU28	: u	0.25 	0.78 	0.5 e	3.34 	1.7 
BEDRM,PCH_PRE,TOTAL,FI	3.72 	0.46 	0.06 	-1.32 	0.8 	2 
BEDRM,PCH_PRE,TOTAL,FR	: 	0.59 	2.34 	1.27 	0.8 	0 
BEDRM,PCH_PRE,TOTAL,HR	0.03 	1.95 	1.45 	0.2 	2.4 	1 b
BEDRM,PCH_PRE,TOTAL,HU	-0.07 	2.03 	1.17 	0.63 	1.1 	6.4 
BEDRM,PCH_PRE,TOTAL,IE	: 	0 	-1.26 	-1.66 	-3.3 	-2.8 b
BEDRM,PCH_PRE,TOTAL,IS	4.94 	1.82 	12.63 	7.94 	7.7 	5.2 
