c_resid,unit,hotelsize,geo\time	2017 	2016 	2015 	2014 	2013 	2012 
FOR,NR,100-249,BG	2635047 	2570927 	1819013 	1883719 	2007188 	1718401 
FOR,NR,100-249,CY	8164758 	7392353 	6272698 	6530679 	: 	: 
FOR,NR,100-249,CZ	6618973 	6415440 	6126986 	5889374 	5777941 	5762896 
FOR,NR,100-249,DE	24275500 	23019206 	22394117 	20574770 	19321409 	18175053 
FOR,NR,100-249,EA	: u	: u	: u	: 	: 	: 
FOR,NR,100-249,EL	23903106 	21629209 	20304449 	19641139 	18954629 	16792341 
FOR,NR,100-249,ES	80054560 	76637032 	69777777 	68439284 	65929205 	63039080 
FOR,NR,100-249,EU27	: u	: u	: u	: u	: u	: 
FOR,NR,100-249,EU28	: u	: u	: u	: u	: u	: 
FOR,NR,100-249,HR	9253453 	8761698 	8572019 	8195020 	8309769 	8347908 
FOR,NR,100-249,HU	4779524 	4363407 	4105159 	3983225 	: 	: 
FOR,NR,100-249,IS	: 	1224051 	906817 	1052788 	910766 	378068 
FOR,NR,100-249,LT	947435 	918220 	802929 	808189 	755153 	661781 
FOR,NR,100-249,LU	: 	0 	: 	: 	: 	: 
FOR,NR,100-249,LV	1223710 	1103796 	1022746 	: c	926738 	: c
FOR,NR,100-249,ME	: 	983344 	: 	: 	: 	: 
FOR,NR,100-249,MT	3209537 	3211919 	3219456 	3202245 	2813194 	1424835 
FOR,NR,100-249,NO	: 	3119865 	2770227 	2572071 	2411416 	2381707 
FOR,NR,100-249,PL	549673 	546053 	479870 	440244 	434712 	362714 
FOR,NR,100-249,RO	: 	: 	: 	221482 	211939 	212743 
FOR,NR,100-249,SE	3942727 	3698796 	3437085 	3118223 	2864219 	2844444 
FOR,NR,100-249,UK	: 	7606760 	6517880 	: 	: 	: 
FOR,NR,25-99,BG	1273422 	1179180 	1039644 	1109260 	1008253 	880558 
FOR,NR,25-99,CY	3170129 	2935927 	2441482 	2562385 	: 	: 
FOR,NR,25-99,CZ	9916173 	5817428 	5529865 	8203484 	8187629 	8031572 
FOR,NR,25-99,DE	23284061 	22390266 	22357434 	21519234 	20514394 	19902391 
FOR,NR,25-99,EA	: u	: u	: u	: 	: 	: 
FOR,NR,25-99,EL	22748656 	20533246 	20192162 	19411398 	17449294 	15194388 
FOR,NR,25-99,ES	39688404 	36845939 	33397831 	31510276 	30500022 	30241148 
FOR,NR,25-99,EU27	: u	: u	: u	: u	: u	: 
FOR,NR,25-99,EU28	: u	: u	: u	: u	: u	: 
FOR,NR,25-99,HR	3436914 	3252318 	2991633 	2798021 	2866933 	2840539 
FOR,NR,25-99,HU	4067450 	3701414 	3359956 	3135878 	: 	: 
FOR,NR,25-99,IS	: 	2185550 	1777911 	801726 	708006 	1078656 
FOR,NR,25-99,LT	1147921 	1109039 	1071593 	1057982 	1013678 	964733 
FOR,NR,25-99,LV	1053367 	988491 	981250 	976729 	875935 	780172 
FOR,NR,25-99,ME	: 	526784 	: 	: 	: 	: 
FOR,NR,25-99,MT	1581586 	1461603 	1418532 	1355172 	1371378 	321952 
FOR,NR,25-99,NO	: 	1451508 	1332386 	1364267 	1249436 	1307095 
FOR,NR,25-99,PL	626840 	593262 	473230 	448054 	423750 	417782 
FOR,NR,25-99,RO	: 	: 	: 	40664 	33992 	34616 
FOR,NR,25-99,SE	2088303 	1988569 	1930325 	1711049 	1646349 	1601557 
FOR,NR,25-99,UK	: 	20249460 	19829528 	: 	: 	: 
FOR,NR,GE100,BG	15375747 	14599283 	11968735 	12557229 	12884012 	12183158 
FOR,NR,GE100,CY	12198592 	11053522 	9641931 	9794868 	: 	: 
FOR,NR,GE100,CZ	10738551 	15465598 	14885420 	9309606 	9188076 	9331913 
FOR,NR,GE100,DE	36773838 	35084403 	34315480 	31901078 	30131334 	28277358 
FOR,NR,GE100,EA	: u	: u	: u	: 	: 	: 
FOR,NR,GE100,EL	46850915 	42009512 	39816125 	38154789 	36569648 	32725866 
FOR,NR,GE100,ES	175320827 	169718650 	155289269 	150997708 	147622251 	141600187 
FOR,NR,GE100,EU27	: u	: u	: u	: u	: u	: 
FOR,NR,GE100,EU28	: u	: u	: u	: u	: u	: 
FOR,NR,GE100,HR	17466878 	16546484 	15886815 	15226188 	15238982 	15295862 
FOR,NR,GE100,HU	7821166 	7345256 	7038486 	6852810 	: 	: 
FOR,NR,GE100,IS	: 	1647035 	1220320 	1845859 	1540603 	654195 
FOR,NR,GE100,LT	1097087 	1068530 	946771 	951230 	900286 	811004 
FOR,NR,GE100,LV	1646329 	1481460 	1373700 	1369569 	1276529 	1211847 
FOR,NR,GE100,ME	: 	2041655 	: 	: 	: 	: 
FOR,NR,GE100,MT	7221007 	6799090 	6809750 	6769481 	6507243 	7003722 
FOR,NR,GE100,NO	: 	4939792 	4479974 	3985989 	3645523 	3507153 
FOR,NR,GE100,PL	783432 	770747 	693143 	633669 	631844 	552460 
FOR,NR,GE100,RO	: 	: 	: 	3460628 	3132664 	2965483 
FOR,NR,GE100,SE	6841365 	6475202 	6121823 	5369380 	4905023 	4753423 
FOR,NR,GE100,UK	: 	10564940 	10345841 	: 	: 	: 
FOR,NR,GE250,BG	12740700 	12028356 	10149722 	10673510 	10876824 	10464757 
FOR,NR,GE250,CY	4033833 	3661169 	3369233 	3264188 	: 	: 
FOR,NR,GE250,CZ	4119578 	9050158 	8758434 	3420232 	3410135 	3569017 
FOR,NR,GE250,DE	12498338 	12065197 	11921363 	11326308 	10809925 	10102305 
FOR,NR,GE250,EA	: u	: u	: u	: 	: 	: 
FOR,NR,GE250,EL	22947809 	20380303 	19511676 	18513650 	17615019 	15933525 
FOR,NR,GE250,ES	95266266 	93081618 	85511492 	82558424 	81693046 	78561107 
FOR,NR,GE250,EU27	: u	: u	: u	: u	: u	: 
FOR,NR,GE250,EU28	: u	: u	: u	: u	: u	: 
FOR,NR,GE250,HR	8213425 	7784786 	7314796 	7031168 	6929213 	6947954 
FOR,NR,GE250,HU	3041642 	2981849 	2933327 	2869585 	: 	: 
FOR,NR,GE250,IS	: 	422984 	313503 	793071 	629837 	276127 
FOR,NR,GE250,LT	149652 	150310 	143842 	143041 	145133 	149223 
FOR,NR,GE250,LU	: 	0 	: 	: 	: 	: 
FOR,NR,GE250,LV	422619 	377664 	: c	: c	349791 	: c
FOR,NR,GE250,ME	: 	1058311 	: 	: 	: 	: 
FOR,NR,GE250,MT	4011470 	3587171 	3590294 	3567236 	3694049 	5578887 
FOR,NR,GE250,NO	: 	1819927 	1709747 	1413918 	1234107 	1125446 
FOR,NR,GE250,PL	233759 	224694 	213273 	193425 	197132 	189746 
FOR,NR,GE250,RO	: 	: 	: 	3239146 	2920725 	2752740 
FOR,NR,GE250,SE	2898638 	2776406 	2684738 	2251157 	2040804 	1908979 
FOR,NR,GE250,UK	: 	2958180 	3827961 	: 	: 	: 
FOR,NR,LT25,BG	83453 	86309 	87341 	97509 	95250 	87991 
FOR,NR,LT25,CY	577735 	514992 	464865 	515602 	: 	: 
FOR,NR,LT25,CZ	3038605 	586068 	554981 	2457741 	2695987 	2572920 
FOR,NR,LT25,DE	8594958 	8386081 	8217277 	7891577 	7676936 	7349401 
FOR,NR,LT25,EA	: u	: u	: u	: 	: 	: 
FOR,NR,LT25,EL	3874661 	3398660 	3562553 	3335786 	3039340 	2619253 
FOR,NR,LT25,ES	9746558 	10365223 	9293723 	8022756 	7273961 	6716966 
FOR,NR,LT25,EU27	: u	: u	: u	: u	: u	: 
FOR,NR,LT25,EU28	: u	: u	: u	: u	: u	: 
FOR,NR,LT25,HR	1244660 	1073197 	972766 	867715 	794687 	742951 
FOR,NR,LT25,HU	865438 	755082 	694079 	664428 	: 	: 
FOR,NR,LT25,IS	: 	738901 	614815 	139669 	97931 	291470 
FOR,NR,LT25,LT	281755 	251930 	228465 	241961 	255123 	226008 
FOR,NR,LT25,LV	225381 	205334 	198227 	183644 	142132 	151958 
FOR,NR,LT25,ME	: 	326044 	: 	: 	: 	: 
FOR,NR,LT25,MT	114418 	93771 	74066 	57711 	61728 	18579 
FOR,NR,LT25,NO	: 	181777 	177082 	231402 	173924 	236325 
FOR,NR,LT25,PL	12228496 	11554210 	10135995 	9585499 	9073871 	8454308 
FOR,NR,LT25,RO	: 	: 	: 	2230 	1135 	1383 
FOR,NR,LT25,SE	405341 	378872 	348854 	341001 	323387 	295465 
FOR,NR,LT25,UK	: 	57226750 	56039971 	: 	: 	: 
FOR,NR,TOTAL,AT	66641779 	65243779 	63327453 	61829801 	62137088 	61359896 
FOR,NR,TOTAL,BE	11631915 	10215070 	12034552 	12081835 	11624497 	11546413 
FOR,NR,TOTAL,BG	16732622 	15864772 	13095720 	13763998 	13987515 	13151707 
FOR,NR,TOTAL,CH	: 	19261903 	19552258 	19882606 	19709473 	19051600 
FOR,NR,TOTAL,CY	15946455 	14504442 	12548278 	12872854 	13141237 	13476337 
FOR,NR,TOTAL,CZ	23693329 	21869094 	20970266 	19970831 	20071692 	19936405 
FOR,NR,TOTAL,DE	68652857 	65860750 	64890191 	61311889 	58322664 	55529150 
FOR,NR,TOTAL,DK	6862892 	6641020 	6487067 	6481576 	6010083 	5723802 
FOR,NR,TOTAL,EA	781280623 e	748981992 	717377682 	: 	: 	: 
FOR,NR,TOTAL,EE	3654125 	3559353 	3367951 	3515676 	3536875 	3498683 
FOR,NR,TOTAL,EL	73474232 	65941418 	63570840 	60901973 	57058282 	50539507 
FOR,NR,TOTAL,ES	224755788 	216929812 	197980823 	190530741 	185396233 	178558301 
FOR,NR,TOTAL,EU27	: u	919360239 	879042353 	841516698 e	821483557 	777958265 
FOR,NR,TOTAL,EU28	: u	940232238 	898893567 	860408622 e	840384159 	796837617 
FOR,NR,TOTAL,FI	5726279 	4973182 	4676645 	4795215 	4906135 	4948446 
FOR,NR,TOTAL,FR	76426143 	70245367 	74456927 	73552947 	73619897 	68784275 
FOR,NR,TOTAL,HR	22148452 	20871999 	19851214 	18891924 	18900602 	18879352 b
FOR,NR,TOTAL,HU	12754054 	11801752 	11092521 	10653116 	10367322 	9938268 
FOR,NR,TOTAL,IE	: 	12904044 e	10789960 e	8668203 e	8658824 e	9430436 be
FOR,NR,TOTAL,IS	: 	4571486 	3613046 	2787254 	2346540 	2024321 
FOR,NR,TOTAL,IT	136114096 	131988707 	129680864 	127373740 	126330288 	122700343 
FOR,NR,TOTAL,LI	125122 	107631 	90419 	108994 	111533 	111345 
FOR,NR,TOTAL,LT	2526763 	2429499 	2246829 	2251173 	2169087 	2001745 
FOR,NR,TOTAL,LU	1526416 	1593649 	1586274 	1538265 	1413420 	1424273 b
FOR,NR,TOTAL,LV	2925077 	2675285 	: c	2529942 	2294596 	2143977 b
FOR,NR,TOTAL,ME	: 	2894483 	2627448 	: 	: 	2621342 
FOR,NR,TOTAL,MK	1216277 	988699 	957803 	826623 	795566 	727246 
FOR,NR,TOTAL,MT	8917011 	8354465 	8302348 	8182364 	7940350 	7344253 
FOR,NR,TOTAL,NL	26343380 	23169243 	21707565 	20183788 	18350969 	16934054 
FOR,NR,TOTAL,NO	: 	6573077 	5989442 	5581658 	5068883 	5050573 
FOR,NR,TOTAL,PL	13638768 	12918219 	11302368 	10667222 	10129465 	9424550 
FOR,NR,TOTAL,PT	42852697 	39326453 	35474514 	33050064 	29824569 	27256580 
FOR,NR,TOTAL,RO	4799993 	4399597 	4100387 	3503522 	3167791 	3001482 b
FOR,NR,TOTAL,RS	: 	2352920 	2066142 	1784540 	1616648 	1518577 
FOR,NR,TOTAL,SE	9335009 	8842643 	8401002 	7421430 	6874759 	6650445 
FOR,NR,TOTAL,SI	5544814 	4984687 	4540345 	4294013 	4202067 	4150042 
FOR,NR,TOTAL,SK	4249762 	4082787 	3642146 	3171407 	3528739 	3329573 
FOR,NR,TOTAL,TR	: 	65657106 	96345555 	97314942 	89542908 	: 
FOR,NR,TOTAL,UK	: 	88041150 	86215340 	: 	76419113 	65269158 b
FOR,PCH_PRE,100-249,BG	2.49 	41.34 	-3.44 	-6.15 	16.8 	: 
FOR,PCH_PRE,100-249,CY	10.45 	17.85 	-3.95 	: 	: 	: 
FOR,PCH_PRE,100-249,CZ	3.17 	4.71 	4.03 	1.93 	0.3 	: 
FOR,PCH_PRE,100-249,DE	5.46 	2.79 	8.84 	6.49 	6.3 	: 
FOR,PCH_PRE,100-249,EA	: u	: u	: u	: 	: 	: 
FOR,PCH_PRE,100-249,EL	10.51 	6.52 	3.38 	3.62 	12.88 	: 
FOR,PCH_PRE,100-249,ES	4.46 	9.83 	1.96 	3.81 	4.6 	: 
FOR,PCH_PRE,100-249,EU27	: u	: u	: u	: u	: u	: 
FOR,PCH_PRE,100-249,EU28	: u	: u	: u	: u	: u	: 
FOR,PCH_PRE,100-249,HR	5.61 	2.21 	4.6 	-1.38 	-0.5 	: 
FOR,PCH_PRE,100-249,HU	9.54 	6.29 	3.06 	: 	: 	: 
FOR,PCH_PRE,100-249,IS	: 	34.98 	-13.87 	15.59 	140.9 	: 
FOR,PCH_PRE,100-249,LT	3.18 	14.36 	-0.65 	7.02 	14.1 	: 
FOR,PCH_PRE,100-249,LV	10.86 	7.92 	1.08 	: c	: 	: 
FOR,PCH_PRE,100-249,MT	-0.07 	-0.23 	0.54 	13.83 	97.4 	: 
FOR,PCH_PRE,100-249,NO	: 	12.62 	7.7 	6.66 	1.2 	: 
FOR,PCH_PRE,100-249,PL	0.66 	13.79 	9 	1.27 	19.8 	: 
FOR,PCH_PRE,100-249,RO	: 	: 	: 	4.5 	-0.4 	: 
FOR,PCH_PRE,100-249,SE	6.59 	7.61 	10.23 	8.87 	0.7 	: 
FOR,PCH_PRE,100-249,UK	: 	16.71 	: 	: 	: 	: 
FOR,PCH_PRE,25-99,BG	7.99 	13.42 	-6.28 	10.02 	14.5 	: 
FOR,PCH_PRE,25-99,CY	7.98 	20.25 	-4.72 	: 	: 	: 
FOR,PCH_PRE,25-99,CZ	70.46 	5.2 	-32.59 	0.19 	1.9 	: 
FOR,PCH_PRE,25-99,DE	3.99 	0.15 	3.9 	4.9 	3.1 	: 
FOR,PCH_PRE,25-99,EA	: u	: u	: u	: 	: 	: 
FOR,PCH_PRE,25-99,EL	10.79 	1.69 	4.02 	11.24 	14.84 	: 
FOR,PCH_PRE,25-99,ES	7.71 	10.32 	5.99 	3.31 	0.9 	: 
FOR,PCH_PRE,25-99,EU27	: u	: u	: u	: u	: u	: 
FOR,PCH_PRE,25-99,EU28	: u	: u	: u	: u	: u	: 
FOR,PCH_PRE,25-99,HR	5.68 	8.71 	6.92 	-2.4 	0.9 	: 
FOR,PCH_PRE,25-99,HU	9.89 	10.16 	7.15 	: 	: 	: 
FOR,PCH_PRE,25-99,IS	: 	22.93 	121.76 	13.24 	-34.4 	: 
FOR,PCH_PRE,25-99,LT	3.51 	3.49 	1.29 	4.37 	5.1 	: 
FOR,PCH_PRE,25-99,LV	6.56 	0.74 	0.46 	11.51 	12.3 	: 
FOR,PCH_PRE,25-99,MT	8.21 	3.04 	4.68 	-1.18 	326 	: 
FOR,PCH_PRE,25-99,NO	: 	8.94 	-2.34 	9.19 	-4.4 	: 
FOR,PCH_PRE,25-99,PL	5.66 	25.36 	5.62 	5.74 	1.4 	: 
FOR,PCH_PRE,25-99,RO	: 	: 	: 	19.63 	-1.8 	: 
FOR,PCH_PRE,25-99,SE	5.02 	3.02 	12.82 	3.93 	2.8 	: 
FOR,PCH_PRE,25-99,UK	: 	2.12 	: 	: 	: 	: 
FOR,PCH_PRE,GE100,BG	5.32 	21.98 	-4.69 	-2.54 	5.8 	: 
FOR,PCH_PRE,GE100,CY	10.36 	14.64 	-1.56 	: 	: 	: 
FOR,PCH_PRE,GE100,CZ	-30.56 	3.9 	59.89 	1.32 	-1.5 	: 
FOR,PCH_PRE,GE100,DE	4.82 	2.24 	7.57 	5.87 	6.6 	: 
FOR,PCH_PRE,GE100,EA	: u	: u	: u	: 	: 	: 
FOR,PCH_PRE,GE100,EL	11.52 	5.51 	4.35 	4.33 	11.75 	: 
FOR,PCH_PRE,GE100,ES	3.3 	9.29 	2.84 	2.29 	4.3 	: 
FOR,PCH_PRE,GE100,EU27	: u	: u	: u	: u	: u	: 
FOR,PCH_PRE,GE100,EU28	: u	: u	: u	: u	: u	: 
FOR,PCH_PRE,GE100,HR	5.56 	4.15 	4.34 	-0.08 	-0.4 	: 
FOR,PCH_PRE,GE100,HU	6.48 	4.36 	2.71 	: 	: 	: 
FOR,PCH_PRE,GE100,IS	: 	34.97 	-33.89 	19.81 	135.5 	: 
FOR,PCH_PRE,GE100,LT	2.67 	12.86 	-0.47 	5.66 	11 	: 
FOR,PCH_PRE,GE100,LV	11.13 	7.84 	0.3 	7.29 	5.3 	: 
FOR,PCH_PRE,GE100,MT	6.21 	-0.16 	0.59 	4.03 	-7.1 	: 
FOR,PCH_PRE,GE100,NO	: 	10.26 	12.39 	9.34 	3.9 	: 
FOR,PCH_PRE,GE100,PL	1.65 	11.2 	9.39 	0.29 	14.4 	: 
FOR,PCH_PRE,GE100,RO	: 	: 	: 	10.47 	5.6 	: 
FOR,PCH_PRE,GE100,SE	5.65 	5.77 	14.01 	9.47 	3.2 	: 
FOR,PCH_PRE,GE100,UK	: 	2.12 	: 	: 	: 	: 
FOR,PCH_PRE,GE250,BG	5.92 	18.51 	-4.91 	-1.87 	3.9 	: 
FOR,PCH_PRE,GE250,CY	10.18 	8.66 	3.22 	: 	: 	: 
FOR,PCH_PRE,GE250,CZ	-54.48 	3.33 	156.08 	0.3 	-4.5 	: 
FOR,PCH_PRE,GE250,DE	3.59 	1.21 	5.25 	4.78 	7 	: 
FOR,PCH_PRE,GE250,EA	: u	: u	: u	: 	: 	: 
FOR,PCH_PRE,GE250,EL	12.6 	4.45 	5.39 	5.1 	10.55 	: 
FOR,PCH_PRE,GE250,ES	2.35 	8.85 	3.58 	1.06 	4 	: 
FOR,PCH_PRE,GE250,EU27	: u	: u	: u	: u	: u	: 
FOR,PCH_PRE,GE250,EU28	: u	: u	: u	: u	: u	: 
FOR,PCH_PRE,GE250,HR	5.51 	6.43 	4.03 	1.47 	-0.3 	: 
FOR,PCH_PRE,GE250,HU	2.01 	1.65 	2.22 	: 	: 	: 
FOR,PCH_PRE,GE250,IS	: 	34.92 	-60.47 	25.92 	128.1 	: 
FOR,PCH_PRE,GE250,LT	-0.44 	4.5 	0.56 	-1.44 	-2.7 	: 
FOR,PCH_PRE,GE250,LV	11.9 	7.61 	: c	: c	: 	: 
FOR,PCH_PRE,GE250,MT	11.83 	-0.09 	0.65 	-3.43 	-33.8 	: 
FOR,PCH_PRE,GE250,NO	: 	6.44 	20.92 	14.57 	9.7 	: 
FOR,PCH_PRE,GE250,PL	4.03 	5.36 	10.26 	-1.88 	3.9 	: 
FOR,PCH_PRE,GE250,RO	: 	: 	: 	10.9 	6.1 	: 
FOR,PCH_PRE,GE250,SE	4.4 	3.41 	19.26 	10.31 	6.9 	: 
FOR,PCH_PRE,GE250,UK	: 	-22.72 	: 	: 	: 	: 
FOR,PCH_PRE,LT25,BG	-3.31 	-1.18 	-10.43 	2.37 	8.2 	: 
FOR,PCH_PRE,LT25,CY	12.18 	10.78 	-9.84 	: 	: 	: 
FOR,PCH_PRE,LT25,CZ	418.47 	5.6 	-77.42 	-8.84 	4.8 	: 
FOR,PCH_PRE,LT25,DE	2.49 	2.05 	4.13 	2.8 	4.5 	: 
FOR,PCH_PRE,LT25,EA	: u	: u	: u	: 	: 	: 
FOR,PCH_PRE,LT25,EL	14.01 	-4.6 	6.8 	9.75 	16.04 	: 
FOR,PCH_PRE,LT25,ES	-5.97 	11.53 	15.84 	10.29 	8.3 	: 
FOR,PCH_PRE,LT25,EU27	: u	: u	: u	: u	: u	: 
FOR,PCH_PRE,LT25,EU28	: u	: u	: u	: u	: u	: 
FOR,PCH_PRE,LT25,HR	15.98 	10.32 	12.11 	9.19 	7 	: 
FOR,PCH_PRE,LT25,HU	14.62 	8.79 	4.46 	: 	: 	: 
FOR,PCH_PRE,LT25,IS	: 	20.18 	340.19 	42.62 	-66.4 	: 
FOR,PCH_PRE,LT25,LT	11.84 	10.27 	-5.58 	-5.16 	12.9 	: 
FOR,PCH_PRE,LT25,LV	9.76 	3.59 	7.94 	29.21 	-6.5 	: 
FOR,PCH_PRE,LT25,MT	22.02 	26.6 	28.34 	-6.51 	232.3 	: 
FOR,PCH_PRE,LT25,NO	: 	2.65 	-23.47 	33.05 	-26.4 	: 
FOR,PCH_PRE,LT25,PL	5.84 	13.99 	5.74 	5.64 	7.3 	: 
FOR,PCH_PRE,LT25,RO	: 	: 	: 	96.48 	-17.9 	: 
FOR,PCH_PRE,LT25,SE	6.99 	8.6 	2.3 	5.45 	9.5 	: 
FOR,PCH_PRE,LT25,UK	: 	2.12 	: 	: 	: 	: 
FOR,PCH_PRE,TOTAL,AT	2.14 	3.03 	2.42 	-0.49 	1.27 	3.7 
FOR,PCH_PRE,TOTAL,BE	13.87 	-15.12 	-0.39 	3.93 	0.7 	1 
FOR,PCH_PRE,TOTAL,BG	5.47 	21.14 	-4.86 	-1.6 	6.4 	7 
FOR,PCH_PRE,TOTAL,CH	: 	-1.49 	-1.66 	0.88 	3.5 	-3.3 
FOR,PCH_PRE,TOTAL,CY	9.94 	15.59 	-2.52 	-2.04 	-2.5 	4.2 
FOR,PCH_PRE,TOTAL,CZ	8.34 	4.29 	5 	-0.5 	0.7 	10.6 
FOR,PCH_PRE,TOTAL,DE	4.24 	1.5 	5.84 	5.13 	5 	8.1 
FOR,PCH_PRE,TOTAL,DK	3.34 	2.37 	0.08 	7.85 	5 	6.4 
FOR,PCH_PRE,TOTAL,EA	4.31 e	4.41 	3.57 	: 	: 	: 
FOR,PCH_PRE,TOTAL,EE	2.66 	5.68 	-4.2 	-0.6 	1.1 	0.6 
FOR,PCH_PRE,TOTAL,EL	11.42 	3.73 	4.38 	6.74 	12.9 	-6.2 
FOR,PCH_PRE,TOTAL,ES	3.61 	9.57 	3.91 	2.77 	3.8 	1.9 
FOR,PCH_PRE,TOTAL,EU27	: u	4.59 	4.46 	2.44 e	5.58 	1.5 
FOR,PCH_PRE,TOTAL,EU28	: u	4.6 	4.47 	2.38 e	5.45 	1.6 
FOR,PCH_PRE,TOTAL,FI	15.14 	6.34 	-2.47 	-2.26 	-0.9 	5 
FOR,PCH_PRE,TOTAL,FR	8.8 	-5.66 	1.23 	-0.09 	7 	2.6 
FOR,PCH_PRE,TOTAL,HR	6.12 	5.14 	5.08 	-0.05 	0.1 	4.6 b
FOR,PCH_PRE,TOTAL,HU	8.07 	6.39 	4.12 	2.76 	4.3 	13.3 
FOR,PCH_PRE,TOTAL,IE	: 	19.59 e	24.48 e	0.11 e	-8.2 e	: 
FOR,PCH_PRE,TOTAL,IS	: 	26.53 	29.63 	18.78 	15.9 	8.5 
FOR,PCH_PRE,TOTAL,IT	3.13 	1.78 	1.81 	0.83 	3 	2.2 
FOR,PCH_PRE,TOTAL,LI	16.25 	19.04 	-17.04 	-2.28 	0.2 	-1 
FOR,PCH_PRE,TOTAL,LT	4 	8.13 	-0.19 	3.78 	8.4 	10.1 
FOR,PCH_PRE,TOTAL,LU	-4.22 	0.46 	3.12 	8.83 	-0.8 	11.1 b
FOR,PCH_PRE,TOTAL,LV	9.34 	4.78 	: c	10.26 	7 	3.6 b
FOR,PCH_PRE,TOTAL,ME	: 	10.16 	: 	: 	: 	-1 
FOR,PCH_PRE,TOTAL,MK	23.02 	3.23 	15.87 	3.9 	9.4 	9 
FOR,PCH_PRE,TOTAL,MT	6.73 	0.63 	1.47 	3.05 	8.1 	1.9 
FOR,PCH_PRE,TOTAL,NL	13.7 	6.73 	7.55 	9.99 	8.4 	1.5 
FOR,PCH_PRE,TOTAL,NO	: 	9.74 	7.31 	10.12 	0.4 	3.1 
FOR,PCH_PRE,TOTAL,PL	5.58 	14.3 	5.95 	5.31 	7.5 	12.2 
FOR,PCH_PRE,TOTAL,PT	8.97 	10.86 	7.34 	10.81 	9.4 	4.8 
FOR,PCH_PRE,TOTAL,RO	9.1 	7.3 	17.04 	10.6 	5.5 	0.7 b
FOR,PCH_PRE,TOTAL,RS	: 	13.88 	15.78 	10.39 	6.5 	: 
FOR,PCH_PRE,TOTAL,SE	5.57 	5.26 	13.2 	7.95 	3.4 	1.8 
FOR,PCH_PRE,TOTAL,SI	11.24 	9.79 	5.74 	2.19 	1.3 	3.6 
FOR,PCH_PRE,TOTAL,SK	4.09 	12.1 	14.84 	-10.13 	6 	1.6 
FOR,PCH_PRE,TOTAL,TR	: 	-31.85 	-1 	8.68 	: 	: 
FOR,PCH_PRE,TOTAL,UK	: 	2.12 	: 	: 	17.08 	-1 b
NAT,NR,100-249,BG	2544075 	2525574 	2145705 	1923324 	1868905 	1719298 
