c_resid,unit,hotelsize,geo\time	2017 	2016 	2015 	2014 	2013 	2012 
NAT,NR,100-249,CY	292648 	310388 	361538 	337783 	: 	: 
NAT,NR,100-249,CZ	2442627 	3796572 	3457244 	1859213 	1716328 	1762274 
NAT,NR,100-249,DE	60206078 	56750906 	54199353 	51767665 	49206093 	47267801 
NAT,NR,100-249,EA	: u	: u	: u	: 	: 	: 
NAT,NR,100-249,EL	2935587 	2934838 	2800473 	2894741 	2857541 	2639067 
NAT,NR,100-249,ES	34799838 	34507642 	33294461 	32466598 	31324598 	31449757 
NAT,NR,100-249,EU27	: u	: u	: u	: u	: u	: 
NAT,NR,100-249,EU28	: u	: u	: u	: u	: u	: 
NAT,NR,100-249,HR	865508 	905012 	884471 	793533 	798449 	843409 
NAT,NR,100-249,HU	3181255 	3093800 	2934141 	2820127 	: 	: 
NAT,NR,100-249,IS	: 	97360 	109537 	174482 	156868 	104003 
NAT,NR,100-249,LT	468641 	394910 	387904 	366287 	372255 	374819 
NAT,NR,100-249,LV	323666 	317901 	295621 	: c	228184 	: c
NAT,NR,100-249,ME	: 	69843 	: 	: 	: 	: 
NAT,NR,100-249,MT	107560 	96733 	96981 	105078 	93498 	69961 
NAT,NR,100-249,NO	: 	7414837 	7283840 	7092456 	7019342 	6782418 
NAT,NR,100-249,PL	884716 	842003 	742636 	623577 	570972 	481227 
NAT,NR,100-249,RO	: 	: 	: 	1321122 	1310537 	1235105 
NAT,NR,100-249,SE	12056554 	11975601 	11190586 	10483289 	10114595 	9795642 
NAT,NR,100-249,UK	: 	11220483 	10660081 	: 	: 	: 
NAT,NR,25-99,BG	2143409 	2135390 	1869683 	1865702 	1737745 	1602123 
NAT,NR,25-99,CY	321738 	323498 	278629 	273314 	: 	: 
NAT,NR,25-99,CZ	6361677 	6790992 	6251767 	4848508 	4649766 	4697556 
NAT,NR,25-99,DE	90499145 	88560926 	85718994 	83368480 	81530614 	81799796 
NAT,NR,25-99,EA	: u	: u	: u	: 	: 	: 
NAT,NR,25-99,EL	7622008 	7355253 	6965625 	6856016 	6781461 	6621367 
NAT,NR,25-99,ES	39825601 	37966203 	36345978 	34100064 	32406308 	32971874 
NAT,NR,25-99,EU27	: u	: u	: u	: u	: u	: 
NAT,NR,25-99,EU28	: u	: u	: u	: u	: u	: 
NAT,NR,25-99,HR	608307 	585335 	566833 	555460 	600852 	585412 
NAT,NR,25-99,HU	4928727 	4617449 	4324487 	3932012 	: 	: 
NAT,NR,25-99,IS	: 	336448 	252540 	174840 	176852 	207443 
NAT,NR,25-99,LT	741235 	684311 	643768 	594132 	518499 	508214 
NAT,NR,25-99,LV	331818 	317514 	308512 	326293 	253264 	249200 
NAT,NR,25-99,ME	: 	83630 	: 	: 	: 	: 
NAT,NR,25-99,MT	64797 	57228 	61076 	57966 	52058 	13332 
NAT,NR,25-99,NO	: 	4277192 	4248322 	4223642 	4242373 	4348968 
NAT,NR,25-99,PL	1895807 	1770009 	1440062 	1290714 	1185002 	1126867 
NAT,NR,25-99,RO	: 	: 	: 	322238 	311362 	321658 
NAT,NR,25-99,SE	7955899 	7783679 	7505484 	7231072 	6971737 	6988063 
NAT,NR,25-99,UK	: 	18360790 	17364838 	: 	: 	: 
NAT,NR,GE100,BG	4893997 	5015580 	4362868 	4028388 	3873095 	3655654 
NAT,NR,GE100,CY	390327 	413842 	463238 	450244 	: 	: 
NAT,NR,GE100,CZ	3199977 	6269119 	5606715 	2368036 	2386073 	2432012 
NAT,NR,GE100,DE	80094151 	75586332 	72819905 	70328305 	67092151 	64615439 
NAT,NR,GE100,EA	: u	: u	: u	: 	: 	: 
NAT,NR,GE100,EL	4358361 	4448213 	4227862 	4151243 	4130759 	3879569 
NAT,NR,GE100,ES	59999125 	60261275 	59306612 	57589804 	55850382 	56536970 
NAT,NR,GE100,EU27	: u	: u	: u	: u	: u	: 
NAT,NR,GE100,EU28	: u	: u	: u	: u	: u	: 
NAT,NR,GE100,HR	1542609 	1590324 	1530129 	1358487 	1384658 	1475332 
NAT,NR,GE100,HU	4255557 	4090672 	3758941 	3623748 	: 	: 
NAT,NR,GE100,IS	: 	144680 	135826 	295720 	282562 	146416 
NAT,NR,GE100,LT	501334 	429593 	424032 	400847 	399821 	396265 
NAT,NR,GE100,LV	368783 	343447 	312498 	289758 	260021 	254602 
NAT,NR,GE100,ME	: 	116744 	: 	: 	: 	: 
NAT,NR,GE100,MT	314730 	281280 	305305 	289663 	270268 	318406 
NAT,NR,GE100,NO	: 	11160158 	10818002 	10271786 	9924991 	9776319 
NAT,NR,GE100,PL	1161509 	1147349 	1039272 	882031 	802200 	685952 
NAT,NR,GE100,RO	: 	: 	: 	13466775 	13034899 	13153532 
NAT,NR,GE100,SE	17388528 	16934298 	15955888 	14812553 	14048526 	13451829 
NAT,NR,GE100,UK	: 	17340746 	16400124 	: 	: 	: 
NAT,NR,GE250,BG	2349922 	2490006 	2217163 	2105064 	2004190 	1936356 
NAT,NR,GE250,CY	97679 	103454 	101699 	112461 	: 	: 
NAT,NR,GE250,CZ	757350 	2472547 	2149471 	508823 	669745 	669738 
NAT,NR,GE250,DE	19888073 	18835426 	18620552 	18560640 	17886058 	17347638 
NAT,NR,GE250,EA	: u	: u	: u	: 	: 	: 
NAT,NR,GE250,EL	1422774 	1513375 	1427389 	1256502 	1273218 	1240502 
NAT,NR,GE250,ES	25199287 	25753633 	26012151 	25123206 	24525784 	25087213 
NAT,NR,GE250,EU27	: u	: u	: u	: u	: u	: 
NAT,NR,GE250,EU28	: u	: u	: u	: u	: u	: 
NAT,NR,GE250,HR	677101 	685312 	645658 	564954 	586209 	631923 
NAT,NR,GE250,HU	1074302 	996872 	824800 	803621 	: 	: 
NAT,NR,GE250,IS	: 	47320 	26289 	121238 	125694 	42413 
NAT,NR,GE250,LT	32693 	34683 	36128 	34560 	27566 	21446 
NAT,NR,GE250,LV	45117 	25546 	: c	: c	: 	: c
NAT,NR,GE250,ME	: 	46901 	: 	: 	: 	: 
NAT,NR,GE250,MT	207170 	184547 	208324 	184585 	176770 	248445 
NAT,NR,GE250,NO	: 	3745321 	3534162 	3179330 	2905649 	2993901 
NAT,NR,GE250,PL	276793 	305346 	296636 	258454 	231228 	204725 
NAT,NR,GE250,RO	: 	: 	: 	12145653 	11724362 	11918427 
NAT,NR,GE250,SE	5331974 	4958697 	4765302 	4329264 	3933931 	3656187 
NAT,NR,GE250,UK	: 	6120263 	5740044 	: 	: 	: 
NAT,NR,LT25,BG	301263 	303789 	326870 	325104 	316009 	272748 
NAT,NR,LT25,CY	117306 	105461 	81822 	93097 	: 	: 
NAT,NR,LT25,CZ	6335219 	1563534 	1431694 	4499319 	4788988 	4780150 
NAT,NR,LT25,DE	49513113 	49588757 	48588524 	48149659 	47876005 	48146340 
NAT,NR,LT25,EA	: u	: u	: u	: 	: 	: 
NAT,NR,LT25,EL	2173772 	2140140 	2007786 	2042409 	2095052 	2014296 
NAT,NR,LT25,ES	15997304 	16011654 	14602315 	13040021 	12377238 	12592403 
NAT,NR,LT25,EU27	: u	: u	: u	: u	: u	: 
NAT,NR,LT25,EU28	: u	: u	: u	: u	: u	: 
NAT,NR,LT25,HR	237174 	215188 	208168 	198191 	207424 	197883 
NAT,NR,LT25,HU	2368311 	2228782 	2042142 	1863248 	: 	: 
NAT,NR,LT25,IS	: 	116852 	107478 	29347 	27816 	86909 
NAT,NR,LT25,LT	311420 	291875 	298760 	297274 	312108 	263971 
NAT,NR,LT25,LV	219668 	211325 	199881 	161844 	: 	194603 
NAT,NR,LT25,ME	: 	29982 	: 	: 	: 	: 
NAT,NR,LT25,MT	13138 	7459 	4626 	2599 	2700 	442 
NAT,NR,LT25,NO	: 	473169 	482776 	511641 	539105 	627772 
NAT,NR,LT25,PL	30441914 	28487871 	25023112 	22809270 	20617492 	19653295 
NAT,NR,LT25,RO	: 	: 	: 	23005 	22169 	25904 
NAT,NR,LT25,SE	1874672 	1754806 	1655504 	1608557 	1537552 	1475754 
NAT,NR,LT25,UK	: 	66302854 	62706358 	: 	: 	: 
NAT,NR,TOTAL,AT	24970562 	24840833 	23938781 	23481554 	23634952 	23761788 
NAT,NR,TOTAL,BE	7312955 	6968325 	7047847 	6926111 	6525416 	6328384 
NAT,NR,TOTAL,BG	7338669 	7454759 	6559421 	6219194 	5926849 	5530525 
NAT,NR,TOTAL,CH	: 	16270673 	16076218 	16050906 	15914410 	15714673 
NAT,NR,TOTAL,CY	829370 	842801 	823689 	816655 	880959 	1070385 
NAT,NR,TOTAL,CZ	15896873 	14623645 	13290176 	11715863 	11824827 	11909718 
NAT,NR,TOTAL,DE	220106409 	213736015 	207127423 	201846444 	196498770 	194561575 
NAT,NR,TOTAL,DK	8684079 	8367196 	7914982 	7298891 	6871591 	6676381 
NAT,NR,TOTAL,EA	726712704 e	718160183 	698981864 	: 	: 	: 
NAT,NR,TOTAL,EE	1612920 	1494672 	1379100 	1290216 	1220369 	1150567 
NAT,NR,TOTAL,EL	14154141 	13943606 	13201273 	13049668 	13007272 	12515232 
NAT,NR,TOTAL,ES	115822030 	114239133 	110254905 	104729889 	100633927 	102101248 
NAT,NR,TOTAL,EU27	: u	936258454 	901611776 	875984334 e	862268232 	865275442 
NAT,NR,TOTAL,EU28	: u	938649301 	903916906 	878096472 e	864461166 	867534069 
NAT,NR,TOTAL,FI	12053240 	11655480 	11464457 	11170690 	11455281 	11718069 
NAT,NR,TOTAL,FR	137848670 	133631681 	131209905 	128341140 	131480572 	133116506 
NAT,NR,TOTAL,HR	2388090 	2390847 	2305130 	2112138 	2192934 	2258627 b
NAT,NR,TOTAL,HU	11552595 	10936903 	10125570 	9419008 	8596983 	8059642 
NAT,NR,TOTAL,IE	: 	13360469 e	14655156 e	15114322 e	14725825 e	14429831 be
NAT,NR,TOTAL,IS	: 	597980 	495844 	499907 	487230 	440768 
NAT,NR,TOTAL,IT	139019451 	135686506 	133270279 	127567695 	128429060 	132909800 
NAT,NR,TOTAL,LI	2110 	1785 	1122 	978 	1664 	3507 
NAT,NR,TOTAL,LT	1553989 	1405779 	1366560 	1292253 	1230428 	1168450 
NAT,NR,TOTAL,LU	167333 	159815 	151836 	160508 	156506 	117513 b
NAT,NR,TOTAL,LV	920269 	872286 	: c	777895 	659799 	698405 b
NAT,NR,TOTAL,ME	: 	230356 	228576 	: 	: 	354937 
NAT,NR,TOTAL,MK	321282 	304403 	283964 	257107 	240782 	238329 
NAT,NR,TOTAL,MT	392664 	345966 	371007 	350228 	325025 	332181 
NAT,NR,TOTAL,NL	22529448 	21420734 	19909913 	19679902 	19038980 	18041508 
NAT,NR,TOTAL,NO	: 	15910519 	15549100 	15007069 	14706469 	14753059 
NAT,NR,TOTAL,PL	33499230 	31405229 	27502446 	24982015 	22604694 	21466114 
NAT,NR,TOTAL,PT	16681689 	15931774 	15152615 	14400193 	12682529 	12424460 
NAT,NR,TOTAL,RO	17441918 	16833366 	15649121 	13813061 	13369830 	13501094 b
NAT,NR,TOTAL,RS	: 	2632318 	2306996 	2073042 	2369018 	2427355 
NAT,NR,TOTAL,SE	27219099 	26472783 	25116876 	23652182 	22557815 	21915646 
NAT,NR,TOTAL,SI	2206260 	2096507 	2051804 	1945189 	1972671 	2045534 
NAT,NR,TOTAL,SK	5867971 	5527801 	4784423 	4137568 	4151302 	3924779 
NAT,NR,TOTAL,TR	: 	46533141 	37443626 	32397362 	33085411 	: 
NAT,NR,TOTAL,UK	: 	102004390 	96471320 	: 	101806000 	103874000 b
NAT,PCH_PRE,100-249,BG	0.73 	17.7 	11.56 	2.91 	8.7 	: 
NAT,PCH_PRE,100-249,CY	-5.72 	-14.15 	7.03 	: 	: 	: 
NAT,PCH_PRE,100-249,CZ	-35.66 	9.81 	85.95 	8.33 	-2.6 	: 
NAT,PCH_PRE,100-249,DE	6.09 	4.71 	4.7 	5.21 	4.1 	: 
NAT,PCH_PRE,100-249,EA	: u	: u	: u	: 	: 	: 
NAT,PCH_PRE,100-249,EL	0.03 	4.8 	-3.26 	1.3 	8.28 	: 
NAT,PCH_PRE,100-249,ES	0.85 	3.64 	2.55 	3.65 	-0.4 	: 
NAT,PCH_PRE,100-249,EU27	: u	: u	: u	: u	: u	: 
NAT,PCH_PRE,100-249,EU28	: u	: u	: u	: u	: u	: 
NAT,PCH_PRE,100-249,HR	-4.37 	2.32 	11.46 	-0.62 	-5.3 	: 
NAT,PCH_PRE,100-249,HU	2.83 	5.44 	4.04 	: 	: 	: 
NAT,PCH_PRE,100-249,IS	: 	-11.12 	-37.22 	11.23 	50.8 	: 
NAT,PCH_PRE,100-249,LT	18.67 	1.81 	5.9 	-1.6 	-0.7 	: 
NAT,PCH_PRE,100-249,LV	1.81 	7.54 	12.07 	: c	: 	: 
NAT,PCH_PRE,100-249,MT	11.19 	-0.26 	-7.71 	12.39 	33.6 	: 
NAT,PCH_PRE,100-249,NO	: 	1.8 	2.7 	1.04 	3.5 	: 
NAT,PCH_PRE,100-249,PL	5.07 	13.38 	19.09 	9.21 	18.6 	: 
NAT,PCH_PRE,100-249,RO	: 	: 	: 	0.81 	6.1 	: 
NAT,PCH_PRE,100-249,SE	0.68 	7.01 	6.75 	3.65 	3.3 	: 
NAT,PCH_PRE,100-249,UK	: 	5.26 	: 	: 	: 	: 
NAT,PCH_PRE,25-99,BG	0.38 	14.21 	0.21 	7.36 	8.5 	: 
NAT,PCH_PRE,25-99,CY	-0.54 	16.1 	1.94 	: 	: 	: 
NAT,PCH_PRE,25-99,CZ	-6.32 	8.63 	28.94 	4.27 	-1 	: 
NAT,PCH_PRE,25-99,DE	2.19 	3.32 	2.82 	2.25 	-0.3 	: 
NAT,PCH_PRE,25-99,EA	: u	: u	: u	: 	: 	: 
NAT,PCH_PRE,25-99,EL	3.63 	5.59 	1.6 	1.1 	2.42 	: 
NAT,PCH_PRE,25-99,ES	4.9 	4.46 	6.59 	5.23 	-1.7 	: 
NAT,PCH_PRE,25-99,EU27	: u	: u	: u	: u	: u	: 
NAT,PCH_PRE,25-99,EU28	: u	: u	: u	: u	: u	: 
NAT,PCH_PRE,25-99,HR	3.92 	3.26 	2.05 	-7.55 	2.6 	: 
NAT,PCH_PRE,25-99,HU	6.74 	6.77 	9.98 	: 	: 	: 
NAT,PCH_PRE,25-99,IS	: 	33.23 	44.44 	-1.14 	-14.7 	: 
NAT,PCH_PRE,25-99,LT	8.32 	6.3 	8.35 	14.59 	2 	: 
NAT,PCH_PRE,25-99,LV	4.5 	2.92 	-5.45 	28.84 	1.6 	: 
NAT,PCH_PRE,25-99,MT	13.23 	-6.3 	5.37 	11.35 	290.5 	: 
NAT,PCH_PRE,25-99,NO	: 	0.68 	0.58 	-0.44 	-2.5 	: 
NAT,PCH_PRE,25-99,PL	7.11 	22.91 	11.57 	8.92 	5.2 	: 
NAT,PCH_PRE,25-99,RO	: 	: 	: 	3.49 	-3.2 	: 
NAT,PCH_PRE,25-99,SE	2.21 	3.71 	3.79 	3.72 	-0.2 	: 
NAT,PCH_PRE,25-99,UK	: 	5.74 	: 	: 	: 	: 
NAT,PCH_PRE,GE100,BG	-2.42 	14.96 	8.3 	4.01 	5.9 	: 
NAT,PCH_PRE,GE100,CY	-5.68 	-10.66 	2.89 	: 	: 	: 
NAT,PCH_PRE,GE100,CZ	-48.96 	11.81 	136.77 	-0.76 	-1.9 	: 
NAT,PCH_PRE,GE100,DE	5.96 	3.8 	3.54 	4.82 	3.8 	: 
NAT,PCH_PRE,GE100,EA	: u	: u	: u	: 	: 	: 
NAT,PCH_PRE,GE100,EL	-2.02 	5.21 	1.85 	0.5 	6.47 	: 
NAT,PCH_PRE,GE100,ES	-0.44 	1.61 	2.98 	3.11 	-1.2 	: 
NAT,PCH_PRE,GE100,EU27	: u	: u	: u	: u	: u	: 
NAT,PCH_PRE,GE100,EU28	: u	: u	: u	: u	: u	: 
NAT,PCH_PRE,GE100,HR	-3 	3.93 	12.63 	-1.89 	-6.1 	: 
NAT,PCH_PRE,GE100,HU	4.03 	8.83 	3.73 	: 	: 	: 
NAT,PCH_PRE,GE100,IS	: 	6.52 	-54.07 	4.66 	93 	: 
NAT,PCH_PRE,GE100,LT	16.7 	1.31 	5.78 	0.26 	0.9 	: 
NAT,PCH_PRE,GE100,LV	7.38 	9.9 	7.85 	11.44 	2.1 	: 
NAT,PCH_PRE,GE100,MT	11.89 	-7.87 	5.4 	7.18 	-15.1 	: 
NAT,PCH_PRE,GE100,NO	: 	3.16 	5.32 	3.49 	1.5 	: 
NAT,PCH_PRE,GE100,PL	1.23 	10.4 	17.83 	9.95 	16.9 	: 
NAT,PCH_PRE,GE100,RO	: 	: 	: 	3.31 	-0.9 	: 
NAT,PCH_PRE,GE100,SE	2.68 	6.13 	7.72 	5.44 	4.4 	: 
NAT,PCH_PRE,GE100,UK	: 	5.74 	: 	: 	: 	: 
NAT,PCH_PRE,GE250,BG	-5.63 	12.31 	5.33 	5.03 	3.5 	: 
NAT,PCH_PRE,GE250,CY	-5.58 	1.73 	-9.57 	: 	: 	: 
NAT,PCH_PRE,GE250,CZ	-69.37 	15.03 	322.44 	-24.03 	0 	: 
NAT,PCH_PRE,GE250,DE	5.59 	1.15 	0.32 	3.77 	3.1 	: 
NAT,PCH_PRE,GE250,EA	: u	: u	: u	: 	: 	: 
NAT,PCH_PRE,GE250,EL	-5.99 	6.02 	13.6 	-1.31 	2.64 	: 
NAT,PCH_PRE,GE250,ES	-2.15 	-0.99 	3.54 	2.44 	-2.2 	: 
NAT,PCH_PRE,GE250,EU27	: u	: u	: u	: u	: u	: 
NAT,PCH_PRE,GE250,EU28	: u	: u	: u	: u	: u	: 
NAT,PCH_PRE,GE250,HR	-1.2 	6.14 	14.29 	-3.63 	-7.2 	: 
NAT,PCH_PRE,GE250,HU	7.77 	20.86 	2.64 	: 	: 	: 
NAT,PCH_PRE,GE250,IS	: 	80 	-78.32 	-3.55 	196.4 	: 
NAT,PCH_PRE,GE250,LT	-5.74 	-4 	4.54 	25.37 	28.5 	: 
NAT,PCH_PRE,GE250,LV	76.61 	51.37 	: c	: c	: 	: 
NAT,PCH_PRE,GE250,MT	12.26 	-11.41 	12.86 	4.42 	-28.8 	: 
NAT,PCH_PRE,GE250,NO	: 	5.97 	11.16 	9.42 	-2.9 	: 
NAT,PCH_PRE,GE250,PL	-9.35 	2.94 	14.77 	11.77 	12.9 	: 
NAT,PCH_PRE,GE250,RO	: 	: 	: 	3.59 	-1.6 	: 
NAT,PCH_PRE,GE250,SE	7.53 	4.06 	10.07 	10.05 	7.6 	: 
NAT,PCH_PRE,GE250,UK	: 	6.62 	: 	: 	: 	: 
NAT,PCH_PRE,LT25,BG	-0.83 	-7.06 	0.54 	2.88 	15.9 	: 
NAT,PCH_PRE,LT25,CY	11.23 	28.89 	-12.11 	: 	: 	: 
NAT,PCH_PRE,LT25,CZ	305.19 	9.21 	-68.18 	-6.05 	0.2 	: 
NAT,PCH_PRE,LT25,DE	-0.15 	2.06 	0.91 	0.57 	-0.6 	: 
NAT,PCH_PRE,LT25,EA	: u	: u	: u	: 	: 	: 
NAT,PCH_PRE,LT25,EL	1.57 	6.59 	-1.7 	-2.51 	4.01 	: 
NAT,PCH_PRE,LT25,ES	-0.09 	9.65 	11.98 	5.35 	-1.7 	: 
NAT,PCH_PRE,LT25,EU27	: u	: u	: u	: u	: u	: 
NAT,PCH_PRE,LT25,EU28	: u	: u	: u	: u	: u	: 
NAT,PCH_PRE,LT25,HR	10.22 	3.37 	5.03 	-4.45 	4.8 	: 
NAT,PCH_PRE,LT25,HU	6.26 	9.14 	9.6 	: 	: 	: 
NAT,PCH_PRE,LT25,IS	: 	8.72 	266.23 	5.5 	-68 	: 
NAT,PCH_PRE,LT25,LT	6.7 	-2.3 	0.5 	-4.75 	18.2 	: 
NAT,PCH_PRE,LT25,LV	3.95 	5.73 	23.5 	-16.83 	: 	: 
NAT,PCH_PRE,LT25,MT	76.14 	61.24 	77.99 	-3.74 	510.8 	: 
NAT,PCH_PRE,LT25,NO	: 	-1.99 	-5.64 	-5.09 	-14.1 	: 
NAT,PCH_PRE,LT25,PL	6.86 	13.85 	9.71 	10.63 	4.9 	: 
NAT,PCH_PRE,LT25,RO	: 	: 	: 	3.77 	-14.4 	: 
NAT,PCH_PRE,LT25,SE	6.83 	6 	2.92 	4.62 	4.2 	: 
NAT,PCH_PRE,LT25,UK	: 	5.74 	: 	: 	: 	: 
NAT,PCH_PRE,TOTAL,AT	0.52 	3.77 	1.95 	-0.65 	-0.53 	2.5 
NAT,PCH_PRE,TOTAL,BE	4.95 	-1.13 	1.76 	6.14 	3.1 	-3.1 
NAT,PCH_PRE,TOTAL,BG	-1.56 	13.65 	5.47 	4.93 	7.2 	7 
NAT,PCH_PRE,TOTAL,CH	: 	1.21 	0.16 	0.86 	1.3 	-0.4 
NAT,PCH_PRE,TOTAL,CY	-1.59 	2.32 	0.86 	-7.3 	-17.7 	-7.3 
NAT,PCH_PRE,TOTAL,CZ	8.71 	10.03 	13.44 	-0.92 	-0.7 	20.9 
NAT,PCH_PRE,TOTAL,DE	2.98 	3.19 	2.62 	2.72 	1 	2.7 
NAT,PCH_PRE,TOTAL,DK	3.79 	5.71 	8.44 	6.22 	2.9 	2.7 
NAT,PCH_PRE,TOTAL,EA	1.19 e	2.74 	3.24 	: 	: 	: 
NAT,PCH_PRE,TOTAL,EE	7.91 	8.38 	6.89 	5.72 	6.1 	3 
NAT,PCH_PRE,TOTAL,EL	1.51 	5.62 	1.16 	0.33 	3.93 	-19.1 
NAT,PCH_PRE,TOTAL,ES	1.39 	3.61 	5.28 	4.07 	-1.4 	-8.4 
NAT,PCH_PRE,TOTAL,EU27	: u	3.84 	2.93 	1.59 e	-0.36 	1.6 
NAT,PCH_PRE,TOTAL,EU28	: u	3.84 	2.94 	1.58 e	-0.36 	1.6 
NAT,PCH_PRE,TOTAL,FI	3.41 	1.67 	2.63 	-2.48 	-2.2 	0.5 
NAT,PCH_PRE,TOTAL,FR	3.16 	1.85 	2.24 	-2.39 	-1.2 	-1.4 
NAT,PCH_PRE,TOTAL,HR	-0.12 	3.72 	9.14 	-3.68 	-2.9 	-6.4 b
NAT,PCH_PRE,TOTAL,HU	5.63 	8.01 	7.5 	9.56 	6.7 	8.7 
NAT,PCH_PRE,TOTAL,IE	: 	-8.83 e	-3.04 e	2.64 e	2.1 e	116.1 be
NAT,PCH_PRE,TOTAL,IS	: 	20.6 	-0.81 	2.6 	10.5 	6.5 
NAT,PCH_PRE,TOTAL,IT	2.46 	1.81 	4.47 	-0.67 	-3.4 	-5 
NAT,PCH_PRE,TOTAL,LI	18.21 	59.09 	14.72 	-41.23 	-52.6 	-28.8 
NAT,PCH_PRE,TOTAL,LT	10.54 	2.87 	5.75 	5.02 	5.3 	14.7 
NAT,PCH_PRE,TOTAL,LU	4.7 	5.26 	-5.4 	2.56 	33.2 	23.1 b
NAT,PCH_PRE,TOTAL,LV	5.5 	6.26 	: c	17.9 	-5.5 	-7.7 b
NAT,PCH_PRE,TOTAL,ME	: 	0.78 	: 	: 	: 	10.5 
NAT,PCH_PRE,TOTAL,MK	5.54 	7.2 	10.45 	6.78 	1 	1.1 
NAT,PCH_PRE,TOTAL,MT	13.5 	-6.75 	5.93 	7.75 	-2.2 	4.2 
NAT,PCH_PRE,TOTAL,NL	5.18 	7.59 	1.17 	3.37 	5.5 	0.8 
NAT,PCH_PRE,TOTAL,NO	: 	2.32 	3.61 	2.04 	-0.3 	3.1 
NAT,PCH_PRE,TOTAL,PL	6.67 	14.19 	10.09 	10.52 	5.3 	3.3 
NAT,PCH_PRE,TOTAL,PT	4.71 	5.14 	5.23 	13.54 	2.1 	-7.5 
NAT,PCH_PRE,TOTAL,RO	3.62 	7.57 	13.29 	3.32 	-1 	-6.1 b
NAT,PCH_PRE,TOTAL,RS	: 	14.1 	11.29 	-12.49 	-2.4 	: 
NAT,PCH_PRE,TOTAL,SE	2.82 	5.4 	6.19 	4.85 	2.9 	2.1 
NAT,PCH_PRE,TOTAL,SI	5.24 	2.18 	5.48 	-1.39 	-3.6 	-6.1 
NAT,PCH_PRE,TOTAL,SK	6.15 	15.54 	15.63 	-0.33 	5.8 	4.8 
NAT,PCH_PRE,TOTAL,TR	: 	24.28 	15.58 	-2.08 	: 	: 
NAT,PCH_PRE,TOTAL,UK	: 	5.74 	: 	: 	-1.99 	22.3 b
TOTAL,NR,100-249,BG	5179122 	5096501 	3964718 	3807043 	3876093 	3437699 
TOTAL,NR,100-249,CY	8457406 	7702741 	6634236 	6868462 	: 	: 
TOTAL,NR,100-249,CZ	9061600 	10212012 	9584230 	7748587 	7494269 	7525170 
TOTAL,NR,100-249,DE	84481578 	79770112 	76593470 	72342435 	68527502 	65442854 
TOTAL,NR,100-249,EA	: u	: u	: u	: 	: 	: 
TOTAL,NR,100-249,EL	26838693 	24564047 	23104922 	22535880 	21812170 	19431408 
