c_resid,unit,hotelsize,geo\time	2017 	2016 	2015 	2014 	2013 	2012 
TOTAL,NR,100-249,ES	114854398 	111144674 	103072238 	100905882 	97253803 	94488837 
TOTAL,NR,100-249,EU27	: u	: u	: u	: u	: u	: 
TOTAL,NR,100-249,EU28	: u	: u	: u	: u	: u	: 
TOTAL,NR,100-249,HR	10118961 	9666710 	9456490 	8988553 	9108218 	9191317 
TOTAL,NR,100-249,HU	7960779 	7457207 	7039300 	6803352 	: 	: 
TOTAL,NR,100-249,IS	: 	1321411 	1016354 	1227270 	1067634 	482071 
TOTAL,NR,100-249,LT	1416076 	1313130 	1190833 	1174476 	1127408 	1036600 
TOTAL,NR,100-249,LV	1547376 	1421697 	1318367 	1275605 	1154922 	: c
TOTAL,NR,100-249,ME	: 	1053187 	: 	: 	: 	: 
TOTAL,NR,100-249,MT	3317097 	3308652 	3316437 	3307323 	2906692 	1494796 
TOTAL,NR,100-249,NO	: 	10534702 	10054067 	9664527 	9430758 	9164125 
TOTAL,NR,100-249,PL	1434389 	1388056 	1222506 	1063821 	1005684 	843941 
TOTAL,NR,100-249,RO	: 	: 	: 	1542604 	1522476 	1447848 
TOTAL,NR,100-249,SE	15999281 	15674397 	14627671 	13601512 	12978814 	12640086 
TOTAL,NR,100-249,UK	: 	18827243 	17177961 	: 	: 	: 
TOTAL,NR,25-99,BG	3416831 	3314570 	2909327 	2974962 	2745998 	2482681 
TOTAL,NR,25-99,CY	3491867 	3259425 	2720111 	2835699 	: 	: 
TOTAL,NR,25-99,CZ	16277850 	12608420 	11781632 	13051992 	12837395 	12729128 
TOTAL,NR,25-99,DE	113783206 	110951192 	108076428 	104887714 	102045008 	101702187 
TOTAL,NR,25-99,EA	: u	: u	: u	: 	: 	: 
TOTAL,NR,25-99,EL	30370664 	27888499 	27157787 	26267414 	24230755 	21815755 
TOTAL,NR,25-99,ES	79514005 	74812142 	69743809 	65610340 	62906329 	63213022 
TOTAL,NR,25-99,EU27	: u	: u	: u	: u	: u	: 
TOTAL,NR,25-99,EU28	: u	: u	: u	: u	: u	: 
TOTAL,NR,25-99,HR	4045221 	3837653 	3558466 	3353481 	3467785 	3425951 
TOTAL,NR,25-99,HU	8996177 	8318863 	7684443 	7067890 	: 	: 
TOTAL,NR,25-99,IS	: 	2521998 	2030451 	976566 	884858 	1286099 
TOTAL,NR,25-99,LT	1889156 	1793350 	1715361 	1652114 	1532177 	1472947 
TOTAL,NR,25-99,LV	1385185 	1306005 	1289762 	1303022 	1129199 	1029372 
TOTAL,NR,25-99,ME	: 	610414 	: 	: 	: 	: 
TOTAL,NR,25-99,MT	1646383 	1518831 	1479608 	1413138 	1423437 	335284 
TOTAL,NR,25-99,NO	: 	5728700 	5580708 	5587909 	5491809 	5656063 
TOTAL,NR,25-99,PL	2522647 	2363271 	1913292 	1738768 	1608752 	1544649 
TOTAL,NR,25-99,RO	: 	: 	: 	362902 	345354 	356274 
TOTAL,NR,25-99,SE	10044202 	9772248 	9435809 	8942121 	8618086 	8589620 
TOTAL,NR,25-99,UK	: 	38610250 	37194366 	: 	: 	: 
TOTAL,NR,GE100,BG	20269744 	19614863 	16331603 	16585617 	16757107 	15838812 
TOTAL,NR,GE100,CY	12588919 	11467364 	10105169 	10245112 	: 	: 
TOTAL,NR,GE100,CZ	13938528 	21734717 	20492135 	11677642 	11574149 	11763925 
TOTAL,NR,GE100,DE	116867989 	110670735 	107135385 	102229383 	97223485 	92892797 
TOTAL,NR,GE100,EA	: u	: u	: u	: 	: 	: 
TOTAL,NR,GE100,EL	51209276 	46457725 	44043987 	42306032 	40700407 	36605435 
TOTAL,NR,GE100,ES	235319952 	229979925 	214595881 	208587512 	203472632 	198137158 
TOTAL,NR,GE100,EU27	: u	: u	: u	: u	: u	: 
TOTAL,NR,GE100,EU28	: u	: u	: u	: u	: u	: 
TOTAL,NR,GE100,HR	19009487 	18136808 	17416944 	16584675 	16623640 	16771194 
TOTAL,NR,GE100,HU	12076723 	11435928 	10797427 	10476558 	: 	: 
TOTAL,NR,GE100,IS	: 	1791715 	1356146 	2141579 	1823165 	800611 
TOTAL,NR,GE100,LT	1598421 	1498123 	1370803 	1352077 	1300107 	1207269 
TOTAL,NR,GE100,LV	2015112 	1824907 	1686198 	1659327 	1536550 	1466449 
TOTAL,NR,GE100,ME	: 	2158399 	: 	: 	: 	: 
TOTAL,NR,GE100,MT	7535737 	7080370 	7115055 	7059144 	6777511 	7322128 
TOTAL,NR,GE100,NO	: 	16099950 	15297976 	14257775 	13570514 	13283472 
TOTAL,NR,GE100,PL	1944941 	1918096 	1732415 	1515700 	1434044 	1238412 
TOTAL,NR,GE100,RO	: 	: 	: 	16927403 	16167563 	16119015 
TOTAL,NR,GE100,SE	24229893 	23409500 	22077711 	20181933 	18953549 	18205252 
TOTAL,NR,GE100,UK	: 	27905686 	26745965 	: 	: 	: 
TOTAL,NR,GE250,BG	15090622 	14518362 	12366885 	12778574 	12881014 	12401113 
TOTAL,NR,GE250,CY	4131512 	3764623 	3470932 	3376649 	: 	: 
TOTAL,NR,GE250,CZ	4876928 	11522705 	10907905 	3929055 	4079880 	4238755 
TOTAL,NR,GE250,DE	32386411 	30900623 	30541915 	29886948 	28695983 	27449943 
TOTAL,NR,GE250,EA	: u	: u	: u	: 	: 	: 
TOTAL,NR,GE250,EL	24370583 	21893678 	20939065 	19770152 	18888237 	17174027 
TOTAL,NR,GE250,ES	120465553 	118835251 	111523643 	107681630 	106218830 	103648320 
TOTAL,NR,GE250,EU27	: u	: u	: u	: u	: u	: 
TOTAL,NR,GE250,EU28	: u	: u	: u	: u	: u	: 
TOTAL,NR,GE250,HR	8890526 	8470098 	7960454 	7596122 	7515422 	7579877 
TOTAL,NR,GE250,HU	4115944 	3978721 	3758127 	3673206 	: 	: 
TOTAL,NR,GE250,IS	: 	470304 	339792 	914309 	755531 	318540 
TOTAL,NR,GE250,LT	182345 	184993 	179970 	177601 	172699 	170669 
TOTAL,NR,GE250,LV	467736 	403210 	367831 	383722 	: 	: c
TOTAL,NR,GE250,ME	: 	1105212 	: 	: 	: 	: 
TOTAL,NR,GE250,MT	4218640 	3771718 	3798618 	3751821 	3870819 	5827333 
TOTAL,NR,GE250,NO	: 	5565248 	5243909 	4593248 	4139756 	4119347 
TOTAL,NR,GE250,PL	510552 	530040 	509909 	451879 	428360 	394471 
TOTAL,NR,GE250,RO	: 	: 	: 	15384799 	14645087 	14671167 
TOTAL,NR,GE250,SE	8230612 	7735103 	7450040 	6580421 	5974735 	5565166 
TOTAL,NR,GE250,UK	: 	9078443 	9568005 	: 	: 	: 
TOTAL,NR,LT25,BG	384716 	390098 	414211 	422613 	411259 	360739 
TOTAL,NR,LT25,CY	695041 	620453 	546687 	608699 	: 	: 
TOTAL,NR,LT25,CZ	9373824 	2149602 	1986675 	6957060 	7484975 	7353070 
TOTAL,NR,LT25,DE	58108071 	57974838 	56805801 	56041236 	55552941 	55495741 
TOTAL,NR,LT25,EA	: u	: u	: u	: 	: 	: 
TOTAL,NR,LT25,EL	6048433 	5538800 	5570339 	5378195 	5134392 	4633549 
TOTAL,NR,LT25,ES	25743862 	26376877 	23896038 	21062777 	19651199 	19309369 
TOTAL,NR,LT25,EU27	: u	: u	: u	: u	: u	: 
TOTAL,NR,LT25,EU28	: u	: u	: u	: u	: u	: 
TOTAL,NR,LT25,HR	1481834 	1288385 	1180934 	1065906 	1002111 	940834 
TOTAL,NR,LT25,HU	3233749 	2983864 	2736221 	2527676 	: 	: 
TOTAL,NR,LT25,IS	: 	855753 	722293 	169016 	125747 	378379 
TOTAL,NR,LT25,LT	593175 	543805 	527225 	539235 	567231 	489979 
TOTAL,NR,LT25,LV	445049 	416659 	398108 	345488 	: 	346561 
TOTAL,NR,LT25,ME	: 	356026 	: 	: 	: 	: 
TOTAL,NR,LT25,MT	127556 	101230 	78692 	60310 	64428 	19021 
TOTAL,NR,LT25,NO	: 	654946 	659858 	743043 	713029 	864097 
TOTAL,NR,LT25,PL	42670410 	40042081 	35159107 	32394769 	29691363 	28107603 
TOTAL,NR,LT25,RO	: 	: 	: 	25235 	23304 	27287 
TOTAL,NR,LT25,SE	2280013 	2133678 	2004358 	1949558 	1860939 	1771219 
TOTAL,NR,LT25,UK	: 	123529604 	118746329 	: 	: 	: 
TOTAL,NR,TOTAL,AT	91612341 	90084612 	87266234 	85311355 	85772040 	85121684 
TOTAL,NR,TOTAL,BE	18944870 	17183395 	19082399 	19007946 	18149913 	17874797 
TOTAL,NR,TOTAL,BG	24071291 	23319531 	19655141 	19983192 	19914364 	18682232 
TOTAL,NR,TOTAL,CH	: 	35532576 	35628476 	35933512 	35623883 	34766273 
TOTAL,NR,TOTAL,CY	16775825 	15347243 	13371967 	13689509 	14022197 	14546723 
TOTAL,NR,TOTAL,CZ	39590202 	36492739 	34260442 	31686694 	31896519 	31846123 
TOTAL,NR,TOTAL,DE	288759266 	279596765 	272017614 	263158333 	254821434 	250090725 
TOTAL,NR,TOTAL,DK	15546971 	15008216 	14402049 	13780467 	12881674 	12400183 
TOTAL,NR,TOTAL,EA	1507993327 e	1467142175 	1416359546 	: 	: 	: 
TOTAL,NR,TOTAL,EE	5267045 	5054025 	4747051 	4805892 	4757244 	4649250 
TOTAL,NR,TOTAL,EL	87628373 	79885024 	76772113 	73951641 	70065554 	63054739 
TOTAL,NR,TOTAL,ES	340577818 	331168945 	308235728 	295260630 	286030160 	280659549 
TOTAL,NR,TOTAL,EU27	: u	1855618693 	1780654129 	1717501032 e	1683751789 	1643233707 
TOTAL,NR,TOTAL,EU28	: u	1878881539 	1802810473 	1738505094 e	1704845325 	1664371686 
TOTAL,NR,TOTAL,FI	17779519 	16628662 	16141102 	15965905 	16361416 	16666515 
TOTAL,NR,TOTAL,FR	214274813 	203877048 	205666832 	201894087 	205100470 	201900781 
TOTAL,NR,TOTAL,HR	24536542 	23262846 	22156344 	21004062 	21093536 	21137979 b
TOTAL,NR,TOTAL,HU	24306649 	22738655 	21218091 	20072124 	18964305 	17997910 
TOTAL,NR,TOTAL,IE	: 	26264513 e	25445116 e	23782525 e	23384649 e	23860267 be
TOTAL,NR,TOTAL,IS	: 	5169466 	4108890 	3287161 	2833770 	2465089 
TOTAL,NR,TOTAL,IT	275133547 	267675213 	262951143 	254941435 	254759348 	255610143 
TOTAL,NR,TOTAL,LI	127232 	109416 	91541 	109972 	113197 	114852 
TOTAL,NR,TOTAL,LT	4080752 	3835278 	3613389 	3543426 	3399515 	3170195 
TOTAL,NR,TOTAL,LU	1693749 	1753464 	1738110 	1698773 	1569926 	1541786 b
TOTAL,NR,TOTAL,LV	3845346 	3547571 	3374068 	3307837 	2954395 	2842382 b
TOTAL,NR,TOTAL,ME	: 	3124839 	2856024 	: 	: 	2976279 
TOTAL,NR,TOTAL,MK	1537559 	1293102 	1241767 	1083730 	1036348 	965575 
TOTAL,NR,TOTAL,MT	9309675 	8700431 	8673355 	8532592 	8265375 	7676434 
TOTAL,NR,TOTAL,NL	48872828 	44589977 	41617478 	39863690 	37389949 	34975562 
TOTAL,NR,TOTAL,NO	: 	22483596 	21538542 	20588727 	19775352 	19803632 
TOTAL,NR,TOTAL,PL	47137998 	44323448 	38804814 	35649237 	32734159 	30890664 
TOTAL,NR,TOTAL,PT	59534386 	55258227 	50627129 	47450257 	42507098 	39681040 
TOTAL,NR,TOTAL,RO	22241911 	21232963 	19749508 	17316583 	16537621 	16502576 b
TOTAL,NR,TOTAL,RS	: 	4985238 	4373138 	3857582 	3985666 	3945932 
TOTAL,NR,TOTAL,SE	36554108 	35315426 	33517878 	31073612 	29432574 	28566091 
TOTAL,NR,TOTAL,SI	7751074 	7081194 	6592149 	6239202 	6174738 	6195576 
TOTAL,NR,TOTAL,SK	10117733 	9610588 	8426569 	7308975 	7680041 	7254352 
TOTAL,NR,TOTAL,TR	: 	112190247 	133789181 	129712304 	122628319 	: 
TOTAL,NR,TOTAL,UK	: 	190045540 	182686660 	: 	178225113 	169143158 b
TOTAL,PCH_PRE,100-249,BG	1.62 	28.55 	4.14 	-1.78 	12.8 	: 
TOTAL,PCH_PRE,100-249,CY	9.8 	16.11 	-3.41 	: 	: 	: 
TOTAL,PCH_PRE,100-249,CZ	-11.27 	6.55 	23.69 	3.39 	-0.4 	: 
TOTAL,PCH_PRE,100-249,DE	5.91 	4.15 	5.88 	5.57 	4.7 	: 
TOTAL,PCH_PRE,100-249,EA	: u	: u	: u	: 	: 	: 
TOTAL,PCH_PRE,100-249,EL	9.26 	6.32 	2.53 	3.32 	12.25 	: 
TOTAL,PCH_PRE,100-249,ES	3.34 	7.83 	2.15 	3.76 	2.9 	: 
TOTAL,PCH_PRE,100-249,EU27	: u	: u	: u	: u	: u	: 
TOTAL,PCH_PRE,100-249,EU28	: u	: u	: u	: u	: u	: 
TOTAL,PCH_PRE,100-249,HR	4.68 	2.22 	5.21 	-1.31 	-0.9 	: 
TOTAL,PCH_PRE,100-249,HU	6.75 	5.94 	3.47 	: 	: 	: 
TOTAL,PCH_PRE,100-249,IS	: 	30.01 	-17.19 	14.95 	121.5 	: 
TOTAL,PCH_PRE,100-249,LT	7.84 	10.27 	1.39 	4.17 	8.8 	: 
TOTAL,PCH_PRE,100-249,LV	8.84 	7.84 	3.35 	10.45 	: 	: 
TOTAL,PCH_PRE,100-249,MT	0.26 	-0.23 	0.28 	13.78 	94.5 	: 
TOTAL,PCH_PRE,100-249,NO	: 	4.78 	4.03 	2.48 	2.9 	: 
TOTAL,PCH_PRE,100-249,PL	3.34 	13.54 	14.92 	5.78 	19.2 	: 
TOTAL,PCH_PRE,100-249,RO	: 	: 	: 	1.32 	5.2 	: 
TOTAL,PCH_PRE,100-249,SE	2.07 	7.16 	7.54 	4.8 	2.7 	: 
TOTAL,PCH_PRE,100-249,UK	: 	9.6 	: 	: 	: 	: 
TOTAL,PCH_PRE,25-99,BG	3.09 	13.93 	-2.21 	8.34 	10.6 	: 
TOTAL,PCH_PRE,25-99,CY	7.13 	19.83 	-4.08 	: 	: 	: 
TOTAL,PCH_PRE,25-99,CZ	29.1 	7.02 	-9.73 	1.67 	0.9 	: 
TOTAL,PCH_PRE,25-99,DE	2.55 	2.66 	3.04 	2.79 	0.3 	: 
TOTAL,PCH_PRE,25-99,EA	: u	: u	: u	: 	: 	: 
TOTAL,PCH_PRE,25-99,EL	8.9 	2.69 	3.39 	8.41 	11.07 	: 
TOTAL,PCH_PRE,25-99,ES	6.28 	7.27 	6.3 	4.3 	-0.5 	: 
TOTAL,PCH_PRE,25-99,EU27	: u	: u	: u	: u	: u	: 
TOTAL,PCH_PRE,25-99,EU28	: u	: u	: u	: u	: u	: 
TOTAL,PCH_PRE,25-99,HR	5.41 	7.85 	6.11 	-3.3 	1.2 	: 
TOTAL,PCH_PRE,25-99,HU	8.14 	8.26 	8.72 	: 	: 	: 
TOTAL,PCH_PRE,25-99,IS	: 	24.21 	107.92 	10.36 	-31.2 	: 
TOTAL,PCH_PRE,25-99,LT	5.34 	4.55 	3.83 	7.83 	4 	: 
TOTAL,PCH_PRE,25-99,LV	6.06 	1.26 	-1.02 	15.39 	9.7 	: 
TOTAL,PCH_PRE,25-99,MT	8.4 	2.65 	4.7 	-0.72 	324.5 	: 
TOTAL,PCH_PRE,25-99,NO	: 	2.65 	-0.13 	1.75 	-2.9 	: 
TOTAL,PCH_PRE,25-99,PL	6.74 	23.52 	10.04 	8.08 	4.2 	: 
TOTAL,PCH_PRE,25-99,RO	: 	: 	: 	5.08 	-3.1 	: 
TOTAL,PCH_PRE,25-99,SE	2.78 	3.57 	5.52 	3.76 	0.3 	: 
TOTAL,PCH_PRE,25-99,UK	: 	3.81 	: 	: 	: 	: 
TOTAL,PCH_PRE,GE100,BG	3.34 	20.1 	-1.53 	-1.02 	5.8 	: 
TOTAL,PCH_PRE,GE100,CY	9.78 	13.48 	-1.37 	: 	: 	: 
TOTAL,PCH_PRE,GE100,CZ	-35.87 	6.06 	75.48 	0.89 	-1.6 	: 
TOTAL,PCH_PRE,GE100,DE	5.6 	3.3 	4.8 	5.15 	4.7 	: 
TOTAL,PCH_PRE,GE100,EA	: u	: u	: u	: 	: 	: 
TOTAL,PCH_PRE,GE100,EL	10.23 	5.48 	4.11 	3.94 	11.19 	: 
TOTAL,PCH_PRE,GE100,ES	2.32 	7.17 	2.88 	2.51 	2.7 	: 
TOTAL,PCH_PRE,GE100,EU27	: u	: u	: u	: u	: u	: 
TOTAL,PCH_PRE,GE100,EU28	: u	: u	: u	: u	: u	: 
TOTAL,PCH_PRE,GE100,HR	4.81 	4.13 	5.02 	-0.23 	-0.9 	: 
TOTAL,PCH_PRE,GE100,HU	5.6 	5.91 	3.06 	: 	: 	: 
TOTAL,PCH_PRE,GE100,IS	: 	32.12 	-36.68 	17.46 	127.7 	: 
TOTAL,PCH_PRE,GE100,LT	6.69 	9.29 	1.38 	4 	7.7 	: 
TOTAL,PCH_PRE,GE100,LV	10.42 	8.23 	1.62 	7.99 	4.8 	: 
TOTAL,PCH_PRE,GE100,MT	6.43 	-0.49 	0.79 	4.16 	-7.4 	: 
TOTAL,PCH_PRE,GE100,NO	: 	5.24 	7.3 	5.06 	2.2 	: 
TOTAL,PCH_PRE,GE100,PL	1.4 	10.72 	14.3 	5.69 	15.8 	: 
TOTAL,PCH_PRE,GE100,RO	: 	: 	: 	4.7 	0.3 	: 
TOTAL,PCH_PRE,GE100,SE	3.5 	6.03 	9.39 	6.48 	4.1 	: 
TOTAL,PCH_PRE,GE100,UK	: 	4.34 	: 	: 	: 	: 
TOTAL,PCH_PRE,GE250,BG	3.94 	17.4 	-3.22 	-0.8 	3.9 	: 
TOTAL,PCH_PRE,GE250,CY	9.75 	8.46 	2.79 	: 	: 	: 
TOTAL,PCH_PRE,GE250,CZ	-57.68 	5.64 	177.62 	-3.7 	-3.7 	: 
TOTAL,PCH_PRE,GE250,DE	4.81 	1.17 	2.19 	4.15 	4.5 	: 
TOTAL,PCH_PRE,GE250,EA	: u	: u	: u	: 	: 	: 
TOTAL,PCH_PRE,GE250,EL	11.31 	4.56 	5.91 	4.67 	9.98 	: 
TOTAL,PCH_PRE,GE250,ES	1.37 	6.56 	3.57 	1.38 	2.5 	: 
TOTAL,PCH_PRE,GE250,EU27	: u	: u	: u	: u	: u	: 
TOTAL,PCH_PRE,GE250,EU28	: u	: u	: u	: u	: u	: 
TOTAL,PCH_PRE,GE250,HR	4.96 	6.4 	4.8 	1.07 	-0.9 	: 
TOTAL,PCH_PRE,GE250,HU	3.45 	5.87 	2.31 	: 	: 	: 
TOTAL,PCH_PRE,GE250,IS	: 	38.41 	-62.84 	21.02 	137.2 	: 
TOTAL,PCH_PRE,GE250,LT	-1.43 	2.79 	1.33 	2.84 	1.2 	: 
TOTAL,PCH_PRE,GE250,LV	16 	9.62 	-4.14 	9.7 	: 	: 
TOTAL,PCH_PRE,GE250,MT	11.85 	-0.71 	1.25 	-3.07 	-33.6 	: 
TOTAL,PCH_PRE,GE250,NO	: 	6.13 	14.17 	10.95 	0.5 	: 
TOTAL,PCH_PRE,GE250,PL	-3.68 	3.95 	12.84 	5.49 	8.6 	: 
TOTAL,PCH_PRE,GE250,RO	: 	: 	: 	5.05 	-0.2 	: 
TOTAL,PCH_PRE,GE250,SE	6.41 	3.83 	13.22 	10.14 	7.4 	: 
TOTAL,PCH_PRE,GE250,UK	: 	-5.12 	: 	: 	: 	: 
TOTAL,PCH_PRE,LT25,BG	-1.38 	-5.82 	-1.99 	2.76 	14 	: 
TOTAL,PCH_PRE,LT25,CY	12.02 	13.49 	-10.19 	: 	: 	: 
TOTAL,PCH_PRE,LT25,CZ	336.07 	8.2 	-71.44 	-7.05 	1.8 	: 
TOTAL,PCH_PRE,LT25,DE	0.23 	2.06 	1.36 	0.88 	0.1 	: 
TOTAL,PCH_PRE,LT25,EA	: u	: u	: u	: 	: 	: 
TOTAL,PCH_PRE,LT25,EL	9.2 	-0.57 	3.57 	4.75 	10.81 	: 
TOTAL,PCH_PRE,LT25,ES	-2.4 	10.38 	13.45 	7.18 	1.8 	: 
TOTAL,PCH_PRE,LT25,EU27	: u	: u	: u	: u	: u	: 
TOTAL,PCH_PRE,LT25,EU28	: u	: u	: u	: u	: u	: 
TOTAL,PCH_PRE,LT25,HR	15.01 	9.1 	10.79 	6.37 	6.5 	: 
TOTAL,PCH_PRE,LT25,HU	8.37 	9.05 	8.25 	: 	: 	: 
TOTAL,PCH_PRE,LT25,IS	: 	18.48 	327.35 	34.41 	-66.8 	: 
TOTAL,PCH_PRE,LT25,LT	9.08 	3.14 	-2.23 	-4.94 	15.8 	: 
TOTAL,PCH_PRE,LT25,LV	6.81 	4.66 	15.23 	143.08 	: 	: 
TOTAL,PCH_PRE,LT25,MT	26.01 	28.64 	30.48 	-6.39 	238.7 	: 
TOTAL,PCH_PRE,LT25,NO	: 	-0.74 	-11.2 	4.21 	-17.5 	: 
TOTAL,PCH_PRE,LT25,PL	6.56 	13.89 	8.53 	9.11 	5.6 	: 
TOTAL,PCH_PRE,LT25,RO	: 	: 	: 	8.29 	-14.6 	: 
TOTAL,PCH_PRE,LT25,SE	6.86 	6.45 	2.81 	4.76 	5.1 	: 
TOTAL,PCH_PRE,LT25,UK	: 	4.03 	: 	: 	: 	: 
TOTAL,PCH_PRE,TOTAL,AT	1.7 	3.23 	2.29 	-0.54 	0.76 	3.4 
TOTAL,PCH_PRE,TOTAL,BE	10.25 	-9.95 	0.39 	4.73 	1.5 	-0.5 
TOTAL,PCH_PRE,TOTAL,BG	3.22 	18.64 	-1.64 	0.35 	6.6 	7 
TOTAL,PCH_PRE,TOTAL,CH	: 	-0.27 	-0.85 	0.87 	2.5 	-2 
TOTAL,PCH_PRE,TOTAL,CY	9.31 	14.77 	-2.32 	-2.37 	-3.6 	3.3 
TOTAL,PCH_PRE,TOTAL,CZ	8.49 	6.52 	8.12 	-0.66 	0.2 	14.2 
TOTAL,PCH_PRE,TOTAL,DE	3.28 	2.79 	3.37 	3.27 	1.9 	3.9 
TOTAL,PCH_PRE,TOTAL,DK	3.59 	4.21 	4.51 	6.98 	3.9 	4.4 
TOTAL,PCH_PRE,TOTAL,EA	2.78 e	3.59 	3.41 	: 	: 	: 
TOTAL,PCH_PRE,TOTAL,EE	4.21 	6.47 	-1.22 	1.02 	2.3 	1.2 
TOTAL,PCH_PRE,TOTAL,EL	9.69 	4.05 	3.81 	5.55 	11.12 	-9 
TOTAL,PCH_PRE,TOTAL,ES	2.84 	7.44 	4.39 	3.23 	1.9 	-2.1 
TOTAL,PCH_PRE,TOTAL,EU27	: u	4.21 	3.68 	2 e	2.46 	1.6 
TOTAL,PCH_PRE,TOTAL,EU28	: u	4.22 	3.7 	1.97 e	2.42 	1.6 
TOTAL,PCH_PRE,TOTAL,FI	6.92 	3.02 	1.1 	-2.42 	-1.8 	1.8 
TOTAL,PCH_PRE,TOTAL,FR	5.1 	-0.87 	1.87 	-1.56 	1.6 	0 
TOTAL,PCH_PRE,TOTAL,HR	5.48 	4.99 	5.49 	-0.42 	-0.2 	3.3 b
TOTAL,PCH_PRE,TOTAL,HU	6.9 	7.17 	5.71 	5.84 	5.4 	11.2 
TOTAL,PCH_PRE,TOTAL,IE	: 	3.22 e	6.99 e	1.7 e	-2 e	: 
TOTAL,PCH_PRE,TOTAL,IS	: 	25.81 	25 	16 	15 	8.1 
TOTAL,PCH_PRE,TOTAL,IT	2.79 	1.8 	3.14 	0.07 	-0.3 	-1.7 
TOTAL,PCH_PRE,TOTAL,LI	16.28 	19.53 	-16.76 	-2.85 	-1.4 	-2.2 
TOTAL,PCH_PRE,TOTAL,LT	6.4 	6.14 	1.97 	4.23 	7.2 	11.8 
TOTAL,PCH_PRE,TOTAL,LU	-3.41 	0.88 	2.32 	8.21 	1.8 	11.9 b
TOTAL,PCH_PRE,TOTAL,LV	8.39 	5.14 	2 	11.96 	3.9 	0.6 b
TOTAL,PCH_PRE,TOTAL,ME	: 	9.41 	: 	: 	: 	0.3 
TOTAL,PCH_PRE,TOTAL,MK	18.9 	4.13 	14.58 	4.57 	7.3 	6.9 
TOTAL,PCH_PRE,TOTAL,MT	7 	0.31 	1.65 	3.23 	7.7 	2 
TOTAL,PCH_PRE,TOTAL,NL	9.6 	7.14 	4.4 	6.62 	6.9 	1.2 
TOTAL,PCH_PRE,TOTAL,NO	: 	4.39 	4.61 	4.11 	-0.1 	3.1 
TOTAL,PCH_PRE,TOTAL,PL	6.35 	14.22 	8.85 	8.91 	6 	5.9 
TOTAL,PCH_PRE,TOTAL,PT	7.74 	9.15 	6.7 	11.63 	7.1 	0.6 
TOTAL,PCH_PRE,TOTAL,RO	4.75 	7.51 	14.05 	4.71 	0.2 	-5 b
TOTAL,PCH_PRE,TOTAL,RS	: 	14 	13.36 	-3.21 	1 	: 
TOTAL,PCH_PRE,TOTAL,SE	3.51 	5.36 	7.87 	5.58 	3 	2.1 
TOTAL,PCH_PRE,TOTAL,SI	9.46 	7.42 	5.66 	1.04 	-0.3 	0.2 
TOTAL,PCH_PRE,TOTAL,SK	5.28 	14.05 	15.29 	-4.83 	5.9 	3.3 
TOTAL,PCH_PRE,TOTAL,TR	: 	-16.14 	3.14 	5.78 	: 	: 
TOTAL,PCH_PRE,TOTAL,UK	: 	4.03 	: 	: 	5.37 	12.1 b
