accommod,unit,geo\time	2017 	2016 	2015 	2014 	2013 	2012 
BEDPL,PC,UKH3	: 	31.7 	: 	: 	33.6 	: c
BEDPL,PC,UKI	: 	61.3 	: 	: 	64.4 	62.1 
BEDPL,PC,UKI1	: 	: 	: 	: 	65.6 	62.1 e
BEDPL,PC,UKI2	: 	: 	: 	: 	77.5 	62.1 e
BEDPL,PC,UKI3	: 	60 	: 	: 	: 	: 
BEDPL,PC,UKI4	: 	64.2 	: 	: 	: 	: 
BEDPL,PC,UKI5	: 	59.1 	: 	: 	: 	: 
BEDPL,PC,UKI6	: 	56.2 	: 	: 	: 	: 
BEDPL,PC,UKI7	: 	65.2 	: 	: 	: 	: 
BEDPL,PC,UKJ	: 	48.3 	: 	: 	50.7 	48.5 
BEDPL,PC,UKJ1	: 	40.5 	: 	: 	42.5 	: c
BEDPL,PC,UKJ2	: 	45.3 	: 	: 	44.5 	: c
BEDPL,PC,UKJ3	: 	45.9 	: 	: 	46.8 	: c
BEDPL,PC,UKJ4	: 	38.3 	: 	: 	43.9 	: c
BEDPL,PC,UKK	: 	50.7 	: 	: 	47.2 	46.4 
BEDPL,PC,UKK1	: 	47.9 	: 	: 	47.4 	: c
BEDPL,PC,UKK2	: 	49.6 	: 	: 	47.9 	: c
BEDPL,PC,UKK3	: 	55.1 	: 	: 	49.2 	: c
BEDPL,PC,UKK4	: 	37.6 	: 	: 	37.8 	: c
BEDPL,PC,UKL	: 	48.4 	: 	: 	41.1 	38.2 
BEDPL,PC,UKL1	: 	46.4 	: 	: 	42.5 	41.5 
BEDPL,PC,UKL2	: 	36.5 	: 	: 	38.7 	35.8 
BEDPL,PC,UKM	: 	49.1 	: 	: 	48.6 	44.8 
BEDPL,PC,UKM2	: 	54.6 	: 	: 	52.1 	47.4 
BEDPL,PC,UKM3	: 	34.1 	: 	: 	42.5 	43 
BEDPL,PC,UKM5	: 	46.6 	: 	: 	46.1 	41.4 
BEDPL,PC,UKM6	: 	49.1 	: 	: 	46.8 	42.9 
BEDPL,PC,UKN	: 	47.2 	: 	: 	38.4 	40.2 
BEDPL,PC,UKN0	: 	47.2 	: 	: 	38.4 	40.2 
BEDRM,PC,AT	55 	54 	52 	: 	: 	: 
BEDRM,PC,AT1	54 	53 	52 	: 	: 	: 
BEDRM,PC,AT11	44 	44 	42 	: 	: 	: 
BEDRM,PC,AT12	35 	34 	33 	: 	: 	: 
BEDRM,PC,AT13	74 	73 	72 	: 	: 	: 
BEDRM,PC,AT2	45 	44 	42 	: 	: 	: 
BEDRM,PC,AT21	47 	46 	44 	: 	: 	: 
BEDRM,PC,AT22	43 	42 	41 	: 	: 	: 
BEDRM,PC,AT3	57 	56 	53 	: 	: 	: 
BEDRM,PC,AT31	42 	39 	38 	: 	: 	: 
BEDRM,PC,AT32	59 	56 	54 	: 	: 	: 
BEDRM,PC,AT33	61 	59 	57 	: 	: 	: 
BEDRM,PC,AT34	57 	58 	51 	: 	: 	: 
BEDRM,PC,BE	0.62 	56 	61.54 	: c	54.6 	53.6 
BEDRM,PC,BE1	0.65 	55 	66.58 	: c	62.9 	62.2 
BEDRM,PC,BE10	0.65 	55 	66.58 	: c	62.9 	62.2 
BEDRM,PC,BE2	0.62 	58 	61.32 	: c	54.7 	52.8 
BEDRM,PC,BE21	0.63 	61 	64.69 	: c	58.3 	56.6 
BEDRM,PC,BE22	0.55 	55 	53.25 	: c	44.9 	45.2 
BEDRM,PC,BE23	0.74 	67 	68.6 	: c	60.3 	59 
BEDRM,PC,BE24	0.61 	58 	64.16 	: c	59.7 	56.6 
BEDRM,PC,BE25	0.6 	55 	57.58 	: c	50.8 	49 
BEDRM,PC,BE3	0.55 	52 	53.15 	: c	42.2 	43.1 
BEDRM,PC,BE31	0.6 	63 	62.36 	: c	54.9 	56.1 
BEDRM,PC,BE32	0.66 	60 	60.77 	: c	53.3 	53 
BEDRM,PC,BE33	0.55 	54 	55.24 	: c	43.9 	44.3 
BEDRM,PC,BE34	0.41 	39 	40.4 	: c	29.6 	30.8 
BEDRM,PC,BE35	0.56 	47 	46.63 	: c	37.7 	40 
BEDRM,PC,BG	57.1 	55.2 	48.7 	49.4 	52.1 	49.6 
BEDRM,PC,BG3	64.7 	63.2 	55.2 	57.4 	62.1 	58.9 
BEDRM,PC,BG31	25.6 	24.6 	24 	23.3 	27.1 	24.6 
BEDRM,PC,BG32	26.6 	26.4 	23.6 	22.6 	23.5 	24.4 
BEDRM,PC,BG33	66.2 	63.7 	58.1 	59.6 	65.8 	64.8 
BEDRM,PC,BG34	76.6 	76 	63.7 	67.8 	72.4 	66.1 
BEDRM,PC,BG4	43.1 	40.4 	37 	35.2 	34.1 	32.5 
BEDRM,PC,BG41	44.9 	41.7 	38.2 	36.2 	34.6 	32.6 
BEDRM,PC,BG42	40.1 	38.2 	35.1 	33.5 	33.2 	32.2 
BEDRM,PC,CH	: 	51.33 	51.5 	52 	51.6 	50.5 
BEDRM,PC,CH0	: 	51.33 	51.5 	52 	51.6 	50.5 
BEDRM,PC,CH01	: 	53.67 	54 	54.6 	54.7 	53.8 
BEDRM,PC,CH02	: 	48.97 	49.6 	49.9 	49 	46.9 
BEDRM,PC,CH03	: 	53.09 	54.2 	54.6 	53.7 	51.1 
BEDRM,PC,CH04	: 	65.41 	65.2 	65.4 	65 	64.8 
BEDRM,PC,CH05	: 	43.56 	43.3 	45.3 	45.5 	45 
BEDRM,PC,CH06	: 	49.07 	50.9 	49.2 	48.4 	47.2 
BEDRM,PC,CH07	: 	48.74 	46.2 	47.7 	47.1 	45.6 
BEDRM,PC,CY	74.6 	69.9 	63 	62.7 	61.5 	64 
BEDRM,PC,CY0	74.6 	69.9 	63 	62.7 	61.5 	64 
BEDRM,PC,CY00	74.6 	69.9 	63 	62.7 	61.5 	64 
BEDRM,PC,CZ	49.8 	46.4 	43 	44.7 	41.3 	38.6 
BEDRM,PC,CZ0	49.8 	46.4 	43 	44.7 	41.3 	38.6 
BEDRM,PC,CZ01	69.5 	65.1 	61.8 	64.6 	59.8 	57.9 
BEDRM,PC,CZ02	36.7 	33.6 	33.7 	35 	30.5 	27.2 
BEDRM,PC,CZ03	40 	36.5 	34.4 	33 	29.7 	28 
BEDRM,PC,CZ04	51.2 	48.7 	45.2 	51.8 	48.3 	47.7 
BEDRM,PC,CZ05	38.2 	35.6 	33 	32.7 	31.2 	28.4 
BEDRM,PC,CZ06	35.8 	32.4 	29.8 	30.8 	28.6 	23.6 
BEDRM,PC,CZ07	36.7 	35.2 	32.7 	33.8 	31.7 	27.7 
BEDRM,PC,CZ08	34 	31 	29.7 	29.6 	28.7 	23.2 
BEDRM,PC,DE	62.07 	61.8 	60.23 	59.1 	57.9 	57.1 
BEDRM,PC,DE1	63.04 	62.35 	61.28 	59.5 	57.6 	57.6 
BEDRM,PC,DE11	63.77 	62.71 	61.69 	60.7 	57.5 	57.8 
BEDRM,PC,DE12	62.05 	61.32 	60.64 	58.4 	57.1 	57.1 
BEDRM,PC,DE13	63.48 	63.81 	62.55 	59.8 	59 	58.8 
BEDRM,PC,DE14	62.3 	60.88 	59.14 	57.7 	56.5 	55.6 
BEDRM,PC,DE2	61.84 	61.81 	59.54 	58 	57.6 	57.5 
BEDRM,PC,DE21	66.24 	65.89 	65.22 	63.6 	63.6 	62.8 
BEDRM,PC,DE22	56.05 	55.55 	53.69 	51.9 	51.2 	51.5 
BEDRM,PC,DE23	57.01 	57.72 	53.7 	53.1 	51.9 	51.9 
BEDRM,PC,DE24	52.02 	52.7 	49.24 	48.2 	47.9 	45.7 
BEDRM,PC,DE25	61.1 	62.19 	56.49 	56.6 	56.7 	58.6 
BEDRM,PC,DE26	55.64 	57.72 	53.83 	52.5 	51 	51.7 
BEDRM,PC,DE27	60.7 	59.8 	57.05 	54.3 	53.5 	54.4 
BEDRM,PC,DE3	76.9 	76.88 	76.08 	74 	72.2 	72.1 
BEDRM,PC,DE30	76.9 	76.88 	76.08 	74 	72.2 	72.1 
BEDRM,PC,DE4	56.7 	55.1 	53.31 	51.2 	49.1 	51.1 
BEDRM,PC,DE40	56.7 	55.1 	53.31 	51.2 	49.1 	51.1 
BEDRM,PC,DE5	60.09 	59.78 	56.48 	59.2 	59.6 	57.1 
BEDRM,PC,DE50	60.09 	59.78 	56.48 	59.2 	59.6 	57.1 
BEDRM,PC,DE6	79.03 	77.89 	76.53 	76.9 	75.8 	: 
BEDRM,PC,DE60	79.03 	77.89 	76.53 	76.9 	75.8 	: 
BEDRM,PC,DE7	62.93 	61.2 	60.33 	58.6 	57.3 	56.3 
BEDRM,PC,DE71	64.51 	63.18 	62.31 	60.5 	58.8 	57.3 
BEDRM,PC,DE72	56.21 	53.94 	52.21 	51.2 	51.5 	48.1 
BEDRM,PC,DE73	58.36 	55.29 	54.77 	53.3 	53.3 	55.1 
BEDRM,PC,DE8	59.32 	61.8 	59.17 	57.3 	55.9 	54.6 
BEDRM,PC,DE80	59.32 	61.8 	59.17 	57.3 	55.9 	54.6 
BEDRM,PC,DE9	55.59 	54.03 	53.81 	52.8 	52.1 	50.3 
BEDRM,PC,DE91	54.47 	53.38 	54.14 	52.9 	54.2 	52.9 
BEDRM,PC,DE92	54.75 	52.97 	53.33 	51.8 	50.4 	48.5 
BEDRM,PC,DE93	53.93 	52.95 	51.41 	50.4 	50.1 	48.1 
BEDRM,PC,DE94	58.59 	56.51 	55.76 	55.5 	53.8 	52 
BEDRM,PC,DEA	57.8 	60.58 	58.34 	58.3 	57.9 	56.6 
BEDRM,PC,DEA1	56.55 	61.02 	57.69 	58.6 	57.5 	56 
BEDRM,PC,DEA2	61.68 	63.3 	62.68 	61.8 	61.7 	60.3 
BEDRM,PC,DEA3	56.55 	58.25 	54.43 	55.9 	54 	53.1 
BEDRM,PC,DEA4	51.79 	53.55 	51.87 	50.9 	51.6 	50.6 
BEDRM,PC,DEA5	56.82 	59.38 	56.55 	56.1 	57.4 	56.5 
BEDRM,PC,DEB	52.07 	50.3 	51.18 	49.5 	46.3 	44.4 
BEDRM,PC,DEB1	51.56 	49.28 	49.9 	47.7 	44 	42.3 
BEDRM,PC,DEB2	49.99 	47.82 	47.73 	46.8 	44.1 	43.5 
BEDRM,PC,DEB3	53.57 	52.61 	54.24 	52.7 	50.2 	47.3 
BEDRM,PC,DEC	54.77 	55.86 	54.52 	52.8 	51.6 	50.8 
BEDRM,PC,DEC0	54.77 	55.86 	54.52 	52.8 	51.6 	50.8 
BEDRM,PC,DED	59.73 	57.6 	56.68 	57.2 	56.5 	55 
BEDRM,PC,DED2	59.57 	57.31 	56.68 	57.5 	56.5 	55.5 
BEDRM,PC,DED4	51.6 	50.18 	49.74 	50.1 	48.8 	48.3 
BEDRM,PC,DED5	66.37 	64.17 	62.18 	62.2 	62.8 	59.9 
BEDRM,PC,DEE	53.83 	51.85 	47.17 	49.3 	47.7 	47.7 
BEDRM,PC,DEE0	53.83 	51.85 	47.17 	49.3 	47.7 	47.7 
BEDRM,PC,DEF	65.46 	64.79 	62.38 	61.2 	57.2 	: 
BEDRM,PC,DEF0	65.46 	64.79 	62.38 	61.2 	57.2 	: 
BEDRM,PC,DEG	55.19 	52.87 	52.64 	52.6 	51.7 	53.2 
BEDRM,PC,DEG0	55.19 	52.87 	52.64 	52.6 	51.7 	53.2 
BEDRM,PC,DK	62 	62 	61 	57 	55 	54 
BEDRM,PC,DK0	62 	62 	61 	57 	55 	54 
BEDRM,PC,DK01	73 	74 	72 	68 	65 	63 
BEDRM,PC,DK02	50 	49 	46 	42 	40 	39 
BEDRM,PC,DK03	55 	54 	54 	50 	50 	49 
BEDRM,PC,DK04	54 	52 	50 	47 	46 	45 
BEDRM,PC,DK05	49 	50 	48 	44 	44 	45 
BEDRM,PC,EA	57.19 	57.43 	: 	: 	: 	: 
BEDRM,PC,EE	55 	54 	52 	51 	52 	52 
BEDRM,PC,EE0	55 	54 	52 	51 	52 	52 
BEDRM,PC,EE00	55 	54 	52 	51 	52 	52 
BEDRM,PC,EL	50.2 	47.7 	46.8 	46.2 	44.2 	44.1 
BEDRM,PC,EL3	50.2 	47 	47 	44.9 	37.3 	36.7 
BEDRM,PC,EL30	50.2 	47 	47 	44.9 	37.3 	36.7 
BEDRM,PC,EL4	59 	56.2 	55.7 	55.9 	54.8 	54.5 
BEDRM,PC,EL41	35.8 	32.5 	37.7 	35.4 	32.3 	32.1 
BEDRM,PC,EL42	58 	54.1 	55.5 	55.1 	54.4 	54.4 
BEDRM,PC,EL43	63.1 	61.5 	58.5 	59.6 	58.4 	57.7 
BEDRM,PC,EL5	42.1 	39.5 	38.8 	38.4 	37.2 	37.8 
BEDRM,PC,EL51	38.6 	35.1 	35.3 	34 	34.4 	32 
BEDRM,PC,EL52	47.7 	45.3 	44.3 	43.7 	41.8 	43.3 
BEDRM,PC,EL53	17.5 	16.2 	17.3 	17.7 	18.7 	18.6 
BEDRM,PC,EL54	30 	27.4 	25.9 	27.9 	26.1 	26.9 
BEDRM,PC,EL6	41.1 	39.3 	37.5 	36.4 	35.1 	35.5 
BEDRM,PC,EL61	31.7 	30.1 	29.4 	29.2 	27.6 	28.4 
BEDRM,PC,EL62	60 	58.5 	57.1 	55.1 	54.4 	54.7 
BEDRM,PC,EL63	34.6 	33.3 	31.8 	30.2 	28.1 	29 
BEDRM,PC,EL64	27.3 	24.9 	22.6 	22.3 	20.8 	21.6 
BEDRM,PC,EL65	31.4 	29.9 	27 	26.7 	25 	25 
BEDRM,PC,ES	67.07 	65.72 	61.97 	59.2 	57.2 	56.1 
BEDRM,PC,ES1	44.74 	42.88 	40.35 	36.5 	35.1 	33.9 
BEDRM,PC,ES11	42.85 	40.13 	37.78 	34.7 	33.5 	32.3 
BEDRM,PC,ES12	44.83 	44.76 	42.36 	37.3 	35.7 	34.7 
BEDRM,PC,ES13	52.4 	51.47 	47.93 	42.5 	40.7 	38.9 
BEDRM,PC,ES2	53.43 	50.75 	46.97 	43.1 	41.1 	41.3 
BEDRM,PC,ES21	65.46 	62.94 	59.45 	55.2 	53.8 	55.7 
BEDRM,PC,ES22	53.48 	50.16 	45.59 	41.1 	37.9 	37 
BEDRM,PC,ES23	52.49 	52.47 	51.62 	50 	46.3 	44.7 
BEDRM,PC,ES24	44.39 	41.52 	37.31 	33.8 	32 	32 
BEDRM,PC,ES3	72.37 	68.38 	66.37 	62 	55.5 	57.7 
BEDRM,PC,ES30	72.37 	68.38 	66.37 	62 	55.5 	57.7 
BEDRM,PC,ES4	40.04 	37.93 	35.5 	32.3 	30.7 	31 
BEDRM,PC,ES41	43.17 	41.07 	38.78 	34.8 	33 	32.8 
BEDRM,PC,ES42	35.73 	33.58 	31.04 	28.9 	26.8 	27.2 
BEDRM,PC,ES43	37.57 	35.62 	32.99 	30.8 	30.4 	32.2 
BEDRM,PC,ES5	72.81 	71.96 	67.94 	65.9 	65.6 	64.6 
BEDRM,PC,ES51	68.81 	67.12 	63.37 	61.1 	60.5 	60.2 
BEDRM,PC,ES52	66.8 	65.52 	61.48 	58.9 	56.9 	55.1 
BEDRM,PC,ES53	81.78 	82.41 	78.06 	76.7 	77.8 	76.5 
BEDRM,PC,ES6	63.21 	61.74 	57.97 	54.2 	51.8 	50 
BEDRM,PC,ES61	63.82 	62.3 	58.6 	54.8 	52.5 	50.7 
BEDRM,PC,ES62	55.17 	54.29 	49.69 	46.8 	43.7 	41.5 
BEDRM,PC,ES63	64.13 	60.51 	53.47 	56.3 	51.4 	49 
BEDRM,PC,ES64	63.12 	62.7 	59.89 	65.7 	52.3 	53.7 
BEDRM,PC,ES7	85.35 	86.08 	81.23 	80.3 	77.1 	74.3 
BEDRM,PC,ES70	85.35 	86.08 	81.23 	80.3 	77.1 	74.3 
BEDRM,PC,EU27	55.72 	57.51 	: 	: 	: 	: 
BEDRM,PC,EU28	55.76 	57.51 	: 	: 	: 	: 
BEDRM,PC,FI	54.76 	52.9 	51.13 	50.3 	50 	51.3 
BEDRM,PC,FI1	55 	53.12 	51.32 	50.5 	50.2 	51.5 
BEDRM,PC,FI19	51.68 	49.52 	48.47 	47.3 	46.5 	48.7 
BEDRM,PC,FI1B	67.97 	66.46 	63.34 	62.2 	62 	63.7 
BEDRM,PC,FI1C	49.19 	48.16 	45.03 	46.8 	46.2 	47.9 
BEDRM,PC,FI1D	48.19 	46.57 	46.04 	44.7 	45 	45.2 
BEDRM,PC,FI2	40.25 	39.61 	39.72 	37.9 	39 	37.1 
BEDRM,PC,FI20	40.25 	39.61 	39.72 	37.9 	39 	37.1 
BEDRM,PC,FR	: c	58.4 	59 	59.1 	59.3 	60.3 
BEDRM,PC,FR1	73.2 	67.1 	73 	75.1 	74.2 	74.6 
BEDRM,PC,FR10	73.2 	67.1 	73 	75.1 	74.2 	74.6 
BEDRM,PC,FR2	: 	53.9 	54 	54.2 	53.8 	55.2 
BEDRM,PC,FR21	: 	54.8 	54 	54.8 	54.6 	54.5 
BEDRM,PC,FR22	: 	55.9 	56 	55.3 	54.9 	57.3 
BEDRM,PC,FR23	: 	53.3 	54 	55.2 	54.3 	56.1 
BEDRM,PC,FR24	: 	53.1 	53 	53.5 	53.7 	54.7 
BEDRM,PC,FR25	: 	53.2 	54 	53.9 	52.8 	54.5 
BEDRM,PC,FR26	: 	54.2 	54 	53.9 	53.5 	55.1 
BEDRM,PC,FR3	: 	60.4 	58 	56.4 	54.3 	56 
BEDRM,PC,FR30	: 	60.4 	58 	56.4 	54.3 	56 
BEDRM,PC,FR4	: 	55.6 	55 	54.8 	54.8 	54.9 
BEDRM,PC,FR41	: 	53.2 	52 	51.7 	52.6 	52.8 
BEDRM,PC,FR42	: 	58.2 	57 	58.5 	57.9 	57.3 
BEDRM,PC,FR43	: 	52.4 	53 	50.6 	50.4 	52 
BEDRM,PC,FR5	: 	55.6 	54 	52 	52.1 	53.9 
BEDRM,PC,FR51	: 	57.4 	54 	52.7 	52.8 	54.7 
BEDRM,PC,FR52	: 	54.7 	54 	51.1 	50.6 	52.9 
BEDRM,PC,FR53	: 	54.5 	54 	52.3 	53.4 	54.3 
BEDRM,PC,FR6	: 	53.6 	52 	50.7 	51.4 	52.3 
BEDRM,PC,FR61	: 	56.5 	55 	53.7 	54.5 	54.5 
BEDRM,PC,FR62	: 	51.4 	50 	48.7 	49.2 	50.9 
BEDRM,PC,FR63	: 	48.9 	48 	45.6 	46.9 	48.7 
BEDRM,PC,FR7	: 	55.4 	54 	53 	55.7 	55.5 
BEDRM,PC,FR71	: 	56.8 	55 	54.4 	57.3 	56.9 
BEDRM,PC,FR72	: 	48.5 	47 	46.5 	48.1 	49.6 
BEDRM,PC,FR8	: 	56.3 	57 	55.9 	55.9 	57.3 
BEDRM,PC,FR81	: 	52.5 	52 	51.8 	52.1 	53.3 
BEDRM,PC,FR82	: 	57.4 	58 	57.4 	57.1 	58.7 
BEDRM,PC,FR83	: 	59.5 	58 	56.3 	58.2 	58.8 
BEDRM,PC,FRA	: 	56.7 	59 	56 	: 	: 
BEDRM,PC,FRA1	: 	56.3 	59 	54.5 	: 	: 
BEDRM,PC,FRA2	: 	58.2 	62 	56.5 	59.6 	56.8 
BEDRM,PC,FRA3	: 	46.1 	48 	52.2 	53.9 	59.8 
BEDRM,PC,FRA4	: 	60.3 	61 	59.1 	62.4 	62.6 
BEDRM,PC,FRA5	: 	64.1 	0 	: 	: 	: 
BEDRM,PC,FRB	55.4 	: 	: 	: 	: 	: 
BEDRM,PC,FRB0	55.4 	: 	: 	: 	: 	: 
BEDRM,PC,FRC	55.3 	: 	: 	: 	: 	: 
BEDRM,PC,FRC1	55.8 	: 	: 	: 	: 	: 
BEDRM,PC,FRC2	54.2 	: 	: 	: 	: 	: 
BEDRM,PC,FRD	55 	: 	: 	: 	: 	: 
