purpose,quantile,duration,unit,geo\time	2016 	2013 
FIN,TOTAL,N_GE1,NR,AT	369502 	378864 
FIN,TOTAL,N_GE1,NR,BE	2281646 	: 
FIN,TOTAL,N_GE1,NR,BG	2174640 	3422040 
FIN,TOTAL,N_GE1,NR,CH	216719 u	226911 u
FIN,TOTAL,N_GE1,NR,CY	124957 e	168957 e
FIN,TOTAL,N_GE1,NR,CZ	638601 	1158148 
FIN,TOTAL,N_GE1,NR,DE	5796426 	6159312 
FIN,TOTAL,N_GE1,NR,DK	204615 	149357 
FIN,TOTAL,N_GE1,NR,EA	46083361 	64106760 e
FIN,TOTAL,N_GE1,NR,EE	131777 	206410 
FIN,TOTAL,N_GE1,NR,EL	4390266 	4497263 
FIN,TOTAL,N_GE1,NR,ES	6253929 	: c
FIN,TOTAL,N_GE1,NR,EU27	76161191 	97848840 e
FIN,TOTAL,N_GE1,NR,EU28	77414522 	99913213 e
FIN,TOTAL,N_GE1,NR,FI	: c	67571 
FIN,TOTAL,N_GE1,NR,FR	5529703 	5137117 
FIN,TOTAL,N_GE1,NR,HR	1253331 	2077400 
FIN,TOTAL,N_GE1,NR,HU	1778274 	: 
FIN,TOTAL,N_GE1,NR,IE	520584 	690104 
FIN,TOTAL,N_GE1,NR,IT	14752797 	15153274 
FIN,TOTAL,N_GE1,NR,LT	207522 	222224 
FIN,TOTAL,N_GE1,NR,LU	13810 u	14945 
FIN,TOTAL,N_GE1,NR,LV	322121 	200190 
FIN,TOTAL,N_GE1,NR,ME	: c	: 
FIN,TOTAL,N_GE1,NR,MT	41044 	67742 
FIN,TOTAL,N_GE1,NR,NL	1363930 	1914764 
FIN,TOTAL,N_GE1,NR,PL	6924680 	6130000 
FIN,TOTAL,N_GE1,NR,PT	3399028 	4125674 
FIN,TOTAL,N_GE1,NR,RO	6937325 	8917406 
FIN,TOTAL,N_GE1,NR,SE	809032 	: 
FIN,TOTAL,N_GE1,NR,SI	278163 	368588 e
FIN,TOTAL,N_GE1,NR,SK	782101 	1317892 
FIN,TOTAL,N_GE1,NR,UK	10081020 	9642000 
HLTH,TOTAL,N_GE1,NR,AT	547695 	461143 
HLTH,TOTAL,N_GE1,NR,BE	1012866 	: 
HLTH,TOTAL,N_GE1,NR,BG	685144 	571364 
HLTH,TOTAL,N_GE1,NR,CH	211732 u	223143 u
HLTH,TOTAL,N_GE1,NR,CY	49021 e	33460 e
HLTH,TOTAL,N_GE1,NR,CZ	688872 	812291 
HLTH,TOTAL,N_GE1,NR,DE	6889627 	5704782 
HLTH,TOTAL,N_GE1,NR,DK	281521 	229434 
HLTH,TOTAL,N_GE1,NR,EA	22339987 	24862926 e
HLTH,TOTAL,N_GE1,NR,EE	118485 	: 
HLTH,TOTAL,N_GE1,NR,EL	1031906 	1044427 
HLTH,TOTAL,N_GE1,NR,ES	2943142 	: c
HLTH,TOTAL,N_GE1,NR,EU27	31319956 	33913214 e
HLTH,TOTAL,N_GE1,NR,EU28	31813910 	34382711 e
HLTH,TOTAL,N_GE1,NR,FI	81727 u	85205 
HLTH,TOTAL,N_GE1,NR,FR	2164086 	2397379 
HLTH,TOTAL,N_GE1,NR,HR	493954 	488322 
HLTH,TOTAL,N_GE1,NR,HU	847262 	: 
HLTH,TOTAL,N_GE1,NR,IE	178748 	133528 
HLTH,TOTAL,N_GE1,NR,IT	4304022 	4833939 
HLTH,TOTAL,N_GE1,NR,LT	155226 	184146 
HLTH,TOTAL,N_GE1,NR,LU	17914 	22713 
HLTH,TOTAL,N_GE1,NR,LV	153987 	156601 
HLTH,TOTAL,N_GE1,NR,ME	: c	: 
HLTH,TOTAL,N_GE1,NR,MT	31619 	34168 
HLTH,TOTAL,N_GE1,NR,NL	918312 	924336 
HLTH,TOTAL,N_GE1,NR,PL	3254694 	2910000 
HLTH,TOTAL,N_GE1,NR,PT	1354838 	1287352 
HLTH,TOTAL,N_GE1,NR,RO	1608420 	2159730 
HLTH,TOTAL,N_GE1,NR,SE	335513 	: 
HLTH,TOTAL,N_GE1,NR,SI	201272 	212912 e
HLTH,TOTAL,N_GE1,NR,SK	498848 	475624 
HLTH,TOTAL,N_GE1,NR,UK	969330 	773200 
NINT,TOTAL,N_GE1,NR,AT	655762 	528004 
NINT,TOTAL,N_GE1,NR,BE	1823948 	: 
NINT,TOTAL,N_GE1,NR,BG	31263 	14498 
NINT,TOTAL,N_GE1,NR,CH	147936 u	140676 u
NINT,TOTAL,N_GE1,NR,CY	16949 e	52743 e
NINT,TOTAL,N_GE1,NR,CZ	387063 	466563 
NINT,TOTAL,N_GE1,NR,DE	6134888 	6478870 
NINT,TOTAL,N_GE1,NR,DK	25825 	84287 
NINT,TOTAL,N_GE1,NR,EA	25025926 	27606243 e
NINT,TOTAL,N_GE1,NR,EE	96490 	96844 
NINT,TOTAL,N_GE1,NR,EL	639400 	332668 
NINT,TOTAL,N_GE1,NR,ES	2575316 	: c
NINT,TOTAL,N_GE1,NR,EU27	32709545 	35093504 e
NINT,TOTAL,N_GE1,NR,EU28	33000458 	35538557 e
NINT,TOTAL,N_GE1,NR,FI	131789 u	143199 
NINT,TOTAL,N_GE1,NR,FR	1897080 	1696716 
NINT,TOTAL,N_GE1,NR,HR	290913 	460420 
NINT,TOTAL,N_GE1,NR,HU	111173 	: 
NINT,TOTAL,N_GE1,NR,IE	235563 	192261 
NINT,TOTAL,N_GE1,NR,IT	5920208 	6207349 
NINT,TOTAL,N_GE1,NR,LT	77352 	66223 
NINT,TOTAL,N_GE1,NR,LU	22319 	19821 
NINT,TOTAL,N_GE1,NR,LV	62220 	37619 
NINT,TOTAL,N_GE1,NR,ME	: c	: 
NINT,TOTAL,N_GE1,NR,MT	39688 	26354 
NINT,TOTAL,N_GE1,NR,NL	1097089 	1256925 
NINT,TOTAL,N_GE1,NR,PL	2990258 	2070000 
NINT,TOTAL,N_GE1,NR,PT	2717497 	2608470 
NINT,TOTAL,N_GE1,NR,RO	617053 	: 
NINT,TOTAL,N_GE1,NR,SE	1055022 	: 
NINT,TOTAL,N_GE1,NR,SI	137075 	111369 e
NINT,TOTAL,N_GE1,NR,SK	887556 	646247 
NINT,TOTAL,N_GE1,NR,UK	2326390 	2106900 
NTIME_FAM,TOTAL,N_GE1,NR,AT	422071 	345094 
NTIME_FAM,TOTAL,N_GE1,NR,BE	808684 	: 
NTIME_FAM,TOTAL,N_GE1,NR,BG	404004 	305004 
NTIME_FAM,TOTAL,N_GE1,NR,CH	81401 u	55223 u
NTIME_FAM,TOTAL,N_GE1,NR,CY	39439 e	12001 e
NTIME_FAM,TOTAL,N_GE1,NR,CZ	248022 	201942 
NTIME_FAM,TOTAL,N_GE1,NR,DE	4156299 	5202157 
NTIME_FAM,TOTAL,N_GE1,NR,DK	10870 	5975 
NTIME_FAM,TOTAL,N_GE1,NR,EA	14771864 	19753967 e
NTIME_FAM,TOTAL,N_GE1,NR,EE	47485 u	58291 
NTIME_FAM,TOTAL,N_GE1,NR,EL	525572 	557004 
NTIME_FAM,TOTAL,N_GE1,NR,ES	1464190 	: c
NTIME_FAM,TOTAL,N_GE1,NR,EU27	21125068 	26026429 e
NTIME_FAM,TOTAL,N_GE1,NR,EU28	21448343 	26190317 e
NTIME_FAM,TOTAL,N_GE1,NR,FI	: c	25486 u
NTIME_FAM,TOTAL,N_GE1,NR,FR	1151056 	969896 
NTIME_FAM,TOTAL,N_GE1,NR,HR	323275 	190636 
NTIME_FAM,TOTAL,N_GE1,NR,HU	134412 	: 
NTIME_FAM,TOTAL,N_GE1,NR,IE	121996 	91892 
NTIME_FAM,TOTAL,N_GE1,NR,IT	4342547 	4113330 
NTIME_FAM,TOTAL,N_GE1,NR,LT	51422 	33592 
NTIME_FAM,TOTAL,N_GE1,NR,LU	18326 	16233 
NTIME_FAM,TOTAL,N_GE1,NR,LV	57419 	16258 
NTIME_FAM,TOTAL,N_GE1,NR,ME	: c	: 
NTIME_FAM,TOTAL,N_GE1,NR,MT	10374 u	20868 
NTIME_FAM,TOTAL,N_GE1,NR,NL	279583 	232050 
NTIME_FAM,TOTAL,N_GE1,NR,PL	1913097 	1970000 
NTIME_FAM,TOTAL,N_GE1,NR,PT	956068 	813467 
NTIME_FAM,TOTAL,N_GE1,NR,RO	1116372 	707455 
NTIME_FAM,TOTAL,N_GE1,NR,SE	91196 	: 
NTIME_FAM,TOTAL,N_GE1,NR,SI	34087 	47562 e
NTIME_FAM,TOTAL,N_GE1,NR,SK	378294 	381126 
NTIME_FAM,TOTAL,N_GE1,NR,UK	2326390 	2085400 
NTIME_WRK_STU,TOTAL,N_GE1,NR,AT	429894 	345349 
NTIME_WRK_STU,TOTAL,N_GE1,NR,BE	1021233 	: 
NTIME_WRK_STU,TOTAL,N_GE1,NR,BG	786101 	591069 
NTIME_WRK_STU,TOTAL,N_GE1,NR,CH	94709 u	65374 u
NTIME_WRK_STU,TOTAL,N_GE1,NR,CY	27675 e	51583 e
NTIME_WRK_STU,TOTAL,N_GE1,NR,CZ	182168 	262553 
NTIME_WRK_STU,TOTAL,N_GE1,NR,DE	4401482 	4539459 
NTIME_WRK_STU,TOTAL,N_GE1,NR,DK	103326 	60143 
NTIME_WRK_STU,TOTAL,N_GE1,NR,EA	16587023 	19351641 e
NTIME_WRK_STU,TOTAL,N_GE1,NR,EE	46860 u	65795 
NTIME_WRK_STU,TOTAL,N_GE1,NR,EL	592496 	581118 
NTIME_WRK_STU,TOTAL,N_GE1,NR,ES	1862929 	: c
NTIME_WRK_STU,TOTAL,N_GE1,NR,EU27	25371165 	31494711 e
NTIME_WRK_STU,TOTAL,N_GE1,NR,EU28	25630671 	31826218 e
NTIME_WRK_STU,TOTAL,N_GE1,NR,FI	: c	22089 u
NTIME_WRK_STU,TOTAL,N_GE1,NR,FR	1610939 	1094323 
NTIME_WRK_STU,TOTAL,N_GE1,NR,HR	259506 	355826 
NTIME_WRK_STU,TOTAL,N_GE1,NR,HU	583299 	: 
NTIME_WRK_STU,TOTAL,N_GE1,NR,IE	134325 	99278 
NTIME_WRK_STU,TOTAL,N_GE1,NR,IT	4094361 	3245178 
NTIME_WRK_STU,TOTAL,N_GE1,NR,LT	110842 	133729 
NTIME_WRK_STU,TOTAL,N_GE1,NR,LU	7643 u	6722 
NTIME_WRK_STU,TOTAL,N_GE1,NR,LV	61907 	26739 
NTIME_WRK_STU,TOTAL,N_GE1,NR,ME	: c	: 
NTIME_WRK_STU,TOTAL,N_GE1,NR,MT	16377 	14119 
NTIME_WRK_STU,TOTAL,N_GE1,NR,NL	454941 	314315 
NTIME_WRK_STU,TOTAL,N_GE1,NR,PL	3000622 	6230000 
NTIME_WRK_STU,TOTAL,N_GE1,NR,PT	1589323 	1572615 
NTIME_WRK_STU,TOTAL,N_GE1,NR,RO	1639025 	1280567 
NTIME_WRK_STU,TOTAL,N_GE1,NR,SE	184332 	: 
NTIME_WRK_STU,TOTAL,N_GE1,NR,SI	112280 	97116 e
NTIME_WRK_STU,TOTAL,N_GE1,NR,SK	153038 	255148 
NTIME_WRK_STU,TOTAL,N_GE1,NR,UK	2132520 	2259700 
OTH,TOTAL,N_GE1,NR,AT	100492 	142519 
OTH,TOTAL,N_GE1,NR,BE	897023 	: 
OTH,TOTAL,N_GE1,NR,BG	255649 	164650 
OTH,TOTAL,N_GE1,NR,CH	94882 u	152859 u
OTH,TOTAL,N_GE1,NR,CY	32314 e	24927 e
OTH,TOTAL,N_GE1,NR,CZ	85927 u	199853 
OTH,TOTAL,N_GE1,NR,DE	1988673 	1603759 
OTH,TOTAL,N_GE1,NR,DK	341671 	302968 
OTH,TOTAL,N_GE1,NR,EA	9206121 	7750562 e
OTH,TOTAL,N_GE1,NR,EE	41316 u	93777 
OTH,TOTAL,N_GE1,NR,EL	432580 	255746 
OTH,TOTAL,N_GE1,NR,ES	685359 	: 
OTH,TOTAL,N_GE1,NR,EU27	13105054 	12951484 e
OTH,TOTAL,N_GE1,NR,EU28	13246804 	13239504 e
OTH,TOTAL,N_GE1,NR,FI	: c	65148 
OTH,TOTAL,N_GE1,NR,FR	1515301 	1374604 
OTH,TOTAL,N_GE1,NR,HR	141750 	271273 
OTH,TOTAL,N_GE1,NR,HU	381363 	: 
OTH,TOTAL,N_GE1,NR,IE	72132 	74736 
OTH,TOTAL,N_GE1,NR,IT	1858658 	1166922 
OTH,TOTAL,N_GE1,NR,LT	418083 	464390 
OTH,TOTAL,N_GE1,NR,LU	16907 	10747 
OTH,TOTAL,N_GE1,NR,LV	12416 	368074 
OTH,TOTAL,N_GE1,NR,ME	: c	: 
OTH,TOTAL,N_GE1,NR,MT	19117 	27906 
OTH,TOTAL,N_GE1,NR,NL	599408 	554011 
OTH,TOTAL,N_GE1,NR,PL	614499 	490000 
OTH,TOTAL,N_GE1,NR,PT	755878 	658457 
OTH,TOTAL,N_GE1,NR,RO	599003 	649909 
OTH,TOTAL,N_GE1,NR,SE	216902 	: 
OTH,TOTAL,N_GE1,NR,SI	23482 	16797 e
OTH,TOTAL,N_GE1,NR,SK	105758 	331384 
OTH,TOTAL,N_GE1,NR,UK	973420 	1905700 
SAFE,TOTAL,N_GE1,NR,AT	174306 	21619 u
SAFE,TOTAL,N_GE1,NR,BE	158030 	: 
SAFE,TOTAL,N_GE1,NR,BG	6064 	0 
SAFE,TOTAL,N_GE1,NR,CH	6211 u	0 u
SAFE,TOTAL,N_GE1,NR,CY	928 u	417 e
SAFE,TOTAL,N_GE1,NR,CZ	: c	39582 
SAFE,TOTAL,N_GE1,NR,DE	2317686 	1274148 
SAFE,TOTAL,N_GE1,NR,DK	0 	0 
SAFE,TOTAL,N_GE1,NR,EA	3353359 	1996736 e
SAFE,TOTAL,N_GE1,NR,EE	: c	7145 u
SAFE,TOTAL,N_GE1,NR,EL	34429 	44435 
SAFE,TOTAL,N_GE1,NR,ES	: c	: c
SAFE,TOTAL,N_GE1,NR,EU27	4376843 	2578733 e
SAFE,TOTAL,N_GE1,NR,EU28	4379276 	2573846 e
SAFE,TOTAL,N_GE1,NR,FI	: c	3297 u
SAFE,TOTAL,N_GE1,NR,FR	129835 	119965 
SAFE,TOTAL,N_GE1,NR,HR	2433 	0 
SAFE,TOTAL,N_GE1,NR,HU	0 	: 
SAFE,TOTAL,N_GE1,NR,IE	28580 	9721 
SAFE,TOTAL,N_GE1,NR,IT	: c	0 
SAFE,TOTAL,N_GE1,NR,LT	32182 	4969 
SAFE,TOTAL,N_GE1,NR,LU	: c	1395 
SAFE,TOTAL,N_GE1,NR,LV	0 	0 
SAFE,TOTAL,N_GE1,NR,ME	: c	: 
SAFE,TOTAL,N_GE1,NR,MT	6489 u	1918 
SAFE,TOTAL,N_GE1,NR,NL	104310 	61192 
SAFE,TOTAL,N_GE1,NR,PL	290081 	150000 
SAFE,TOTAL,N_GE1,NR,PT	169745 	200425 
SAFE,TOTAL,N_GE1,NR,RO	16736 	: 
SAFE,TOTAL,N_GE1,NR,SE	62423 	: 
SAFE,TOTAL,N_GE1,NR,SI	8975 u	4628 u
SAFE,TOTAL,N_GE1,NR,SK	64082 	26577 
SAFE,TOTAL,N_GE1,NR,UK	581600 	192300 
TOTAL,TOTAL,N_GE1,NR,AT	1711778 	1685996 
TOTAL,TOTAL,N_GE1,NR,BE	4129125 	3561452 
TOTAL,TOTAL,N_GE1,NR,BG	4342865 	4958246 
TOTAL,TOTAL,N_GE1,NR,CH	695956 	864186 
TOTAL,TOTAL,N_GE1,NR,CY	220244 e	344089 e
TOTAL,TOTAL,N_GE1,NR,CZ	1714763 	2362408 
TOTAL,TOTAL,N_GE1,NR,DE	17532690 	15667410 
TOTAL,TOTAL,N_GE1,NR,DK	967828 	832164 
TOTAL,TOTAL,N_GE1,NR,EA	100392810 	116197061 
TOTAL,TOTAL,N_GE1,NR,EE	345441 	431956 
TOTAL,TOTAL,N_GE1,NR,EL	5887825 	6314823 
TOTAL,TOTAL,N_GE1,NR,ES	13357269 	: c
TOTAL,TOTAL,N_GE1,NR,EU27	160647442 	182290756 e
TOTAL,TOTAL,N_GE1,NR,EU28	162682378 	186004967 e
TOTAL,TOTAL,N_GE1,NR,FI	381447 	411997 
TOTAL,TOTAL,N_GE1,NR,FR	13998000 	12790000 
TOTAL,TOTAL,N_GE1,NR,HR	2034936 	3843878 
TOTAL,TOTAL,N_GE1,NR,HU	3835783 	4038089 
TOTAL,TOTAL,N_GE1,NR,IE	969893 	1063373 
TOTAL,TOTAL,N_GE1,NR,IT	30254825 	30222326 
TOTAL,TOTAL,N_GE1,NR,LT	1052629 	1109273 
TOTAL,TOTAL,N_GE1,NR,LU	91805 	78707 
TOTAL,TOTAL,N_GE1,NR,LV	670069 	805481 
TOTAL,TOTAL,N_GE1,NR,ME	: c	: 
TOTAL,TOTAL,N_GE1,NR,MT	156764 	179284 
TOTAL,TOTAL,N_GE1,NR,NL	4100073 	4293353 
TOTAL,TOTAL,N_GE1,NR,NO	: 	332500 
TOTAL,TOTAL,N_GE1,NR,PL	14003907 	15670000 
TOTAL,TOTAL,N_GE1,NR,PT	5121971 	5611356 
TOTAL,TOTAL,N_GE1,NR,RO	12533934 	13715067 
TOTAL,TOTAL,N_GE1,NR,SE	1746274 	: 
TOTAL,TOTAL,N_GE1,NR,SI	587146 	678443 e
TOTAL,TOTAL,N_GE1,NR,SK	1555903 	2013892 
TOTAL,TOTAL,N_GE1,NR,UK	19386580 	18965300 
TOTAL,TOTAL,N_GE1,PC_POP,HU	: 	48.32 
TOTAL,TOTAL,N_GE1,PC_POP,NO	: 	8.66 
